year mm dd hh mm ss msec long lat alt
#START
2003 10 26 0 0 0 0 63.19 -22.38 476.69
2003 10 26 0 1 0 0 63.01 -26.23 478.57
2003 10 26 0 2 0 0 62.85 -30.07 480.58
2003 10 26 0 3 0 0 62.69 -33.90 482.69
2003 10 26 0 4 0 0 62.54 -37.74 484.88
2003 10 26 0 5 0 0 62.40 -41.56 487.14
2003 10 26 0 6 0 0 62.28 -45.39 489.42
2003 10 26 0 7 0 0 62.17 -49.20 491.70
2003 10 26 0 8 0 0 62.09 -53.02 493.96
2003 10 26 0 9 0 0 62.04 -56.83 496.18
2003 10 26 0 10 0 0 62.03 -60.63 498.32
2003 10 26 0 11 0 0 62.09 -64.43 500.36
2003 10 26 0 12 0 0 62.25 -68.22 502.29
2003 10 26 0 13 0 0 62.57 -72.01 504.07
2003 10 26 0 14 0 0 63.18 -75.80 505.70
2003 10 26 0 15 0 0 64.41 -79.58 507.16
2003 10 26 0 16 0 0 67.27 -83.34 508.43
2003 10 26 0 17 0 0 77.94 -87.03 509.51
2003 10 26 0 18 0 0 192.97 -88.61 510.38
2003 10 26 0 19 0 0 226.30 -85.14 511.05
2003 10 26 0 20 0 0 231.20 -81.40 511.52
2003 10 26 0 21 0 0 232.99 -77.63 511.78
2003 10 26 0 22 0 0 233.84 -73.86 511.83
2003 10 26 0 23 0 0 234.28 -70.08 511.70
2003 10 26 0 24 0 0 234.50 -66.29 511.38
2003 10 26 0 25 0 0 234.61 -62.51 510.88
2003 10 26 0 26 0 0 234.63 -58.72 510.23
2003 10 26 0 27 0 0 234.60 -54.93 509.44
2003 10 26 0 28 0 0 234.53 -51.14 508.53
2003 10 26 0 29 0 0 234.43 -47.34 507.51
2003 10 26 0 30 0 0 234.31 -43.54 506.41
2003 10 26 0 31 0 0 234.18 -39.73 505.25
2003 10 26 0 32 0 0 234.04 -35.93 504.04
2003 10 26 0 33 0 0 233.88 -32.12 502.81
2003 10 26 0 34 0 0 233.72 -28.30 501.58
2003 10 26 0 35 0 0 233.55 -24.48 500.37
2003 10 26 0 36 0 0 233.38 -20.67 499.20
2003 10 26 0 37 0 0 233.20 -16.84 498.08
2003 10 26 0 38 0 0 233.02 -13.02 497.02
2003 10 26 0 39 0 0 232.84 -9.19 496.05
2003 10 26 0 40 0 0 232.65 -5.36 495.17
2003 10 26 0 41 0 0 232.47 -1.53 494.39
2003 10 26 0 42 0 0 232.29 2.30 493.71
2003 10 26 0 43 0 0 232.10 6.13 493.14
2003 10 26 0 44 0 0 231.92 9.96 492.67
2003 10 26 0 45 0 0 231.74 13.79 492.31
2003 10 26 0 46 0 0 231.56 17.62 492.06
2003 10 26 0 47 0 0 231.38 21.45 491.89
2003 10 26 0 48 0 0 231.21 25.28 491.81
2003 10 26 0 49 0 0 231.04 29.10 491.81
2003 10 26 0 50 0 0 230.88 32.93 491.86
2003 10 26 0 51 0 0 230.73 36.75 491.96
2003 10 26 0 52 0 0 230.59 40.57 492.08
2003 10 26 0 53 0 0 230.46 44.39 492.23
2003 10 26 0 54 0 0 230.34 48.21 492.36
2003 10 26 0 55 0 0 230.25 52.02 492.48
2003 10 26 0 56 0 0 230.19 55.83 492.56
2003 10 26 0 57 0 0 230.17 59.64 492.59
2003 10 26 0 58 0 0 230.21 63.45 492.55
2003 10 26 0 59 0 0 230.34 67.26 492.43
2003 10 26 1 0 0 0 230.62 71.06 492.22
2003 10 26 1 1 0 0 231.14 74.86 491.90
2003 10 26 1 2 0 0 232.17 78.66 491.48
2003 10 26 1 3 0 0 234.46 82.44 490.94
2003 10 26 1 4 0 0 241.72 86.18 490.29
2003 10 26 1 5 0 0 323.19 89.00 489.52
2003 10 26 1 6 0 0 32.09 85.95 488.63
2003 10 26 1 7 0 0 38.73 82.20 487.63
2003 10 26 1 8 0 0 40.89 78.42 486.53
2003 10 26 1 9 0 0 41.88 74.61 485.33
2003 10 26 1 10 0 0 42.38 70.81 484.06
2003 10 26 1 11 0 0 42.64 66.99 482.72
2003 10 26 1 12 0 0 42.77 63.17 481.33
2003 10 26 1 13 0 0 42.80 59.35 479.91
2003 10 26 1 14 0 0 42.78 55.53 478.49
2003 10 26 1 15 0 0 42.72 51.70 477.07
2003 10 26 1 16 0 0 42.63 47.87 475.68
2003 10 26 1 17 0 0 42.51 44.03 474.35
2003 10 26 1 18 0 0 42.38 40.19 473.10
2003 10 26 1 19 0 0 42.24 36.35 471.95
2003 10 26 1 20 0 0 42.09 32.50 470.92
2003 10 26 1 21 0 0 41.92 28.65 470.02
2003 10 26 1 22 0 0 41.76 24.80 469.29
2003 10 26 1 23 0 0 41.58 20.95 468.73
2003 10 26 1 24 0 0 41.41 17.09 468.36
2003 10 26 1 25 0 0 41.23 13.23 468.20
