

# Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center.
# Please send comments and suggestions to sec@sec.noaa.gov 
# 
# Source: NOAA POES (Whatever is aloft)
# Units: gigawatts

# Format:

# Each line is formatted as in this example:

# 2006-09-05 00:54:25 NOAA-16 (S)  7  29.67   0.82

# A19   Date and UT at the center of the polar pass as YYYY-MM-DD hh:mm:ss
# 1X    (Space)
# A7	NOAA POES Satellite number
# 1X    (Space)
# A3	(S) or (N) - hemisphere
# I3	Hemispheric Power Index (activity level)
# F7.2	Estimated Hemispheric Power in gigawatts
# F7.2	Normalizing factor

2011-06-10 00:13:55 NOAA-16 (N)  6  23.31   1.12
2011-06-10 00:18:26 METP-02 (N)  7  37.32   1.23
2011-06-10 00:26:51 NOAA-15 (N)  7  33.51   1.03
2011-06-10 00:35:30 NOAA-19 (N)  7  35.41   1.22
2011-06-10 00:37:45 NOAA-17 (N)  7  27.49   1.17
2011-06-10 00:41:20 NOAA-18 (N)  6  22.19   1.13
2011-06-10 01:05:23 NOAA-16 (S)  4   9.62   0.80
2011-06-10 01:09:22 METP-02 (S)  6  18.47   0.84
2011-06-10 01:18:19 NOAA-15 (S)  4   8.60   1.02
2011-06-10 01:27:14 NOAA-19 (S)  5  11.68   2.23
2011-06-10 01:28:41 NOAA-17 (S)  4   9.52   0.79
2011-06-10 01:33:20 NOAA-18 (S)  5   9.98   2.40
2011-06-10 01:56:03 NOAA-16 (N)  5  14.65   1.24
2011-06-10 01:59:30 METP-02 (N)  6  17.80   1.20
2011-06-10 02:09:15 NOAA-15 (N)  5  12.20   1.09
2011-06-10 02:18:49 NOAA-17 (N)  5  13.87   1.30
2011-06-10 02:19:14 NOAA-19 (N)  4   8.69   1.10
2011-06-10 02:25:04 NOAA-18 (N)  4   7.36   1.21
2011-06-10 02:47:31 NOAA-16 (S)  3   5.94   1.00
2011-06-10 02:50:42 METP-02 (S)  4   7.75   0.79
2011-06-10 03:00:27 NOAA-15 (S)  4   6.63   1.64
2011-06-10 03:10:01 NOAA-17 (S)  3   4.94   1.02
2011-06-10 03:10:26 NOAA-19 (S)  3   4.80   1.49
2011-06-10 03:16:16 NOAA-18 (S)  3   5.43   1.58
2011-06-10 03:38:43 NOAA-16 (N)  5  12.16   1.79
2011-06-10 03:41:06 METP-02 (N)  5  13.23   1.22
2011-06-10 03:51:39 NOAA-15 (N)  5  10.99   1.50
2011-06-10 04:00:41 NOAA-17 (N)  6  18.22   1.76
2011-06-10 04:02:26 NOAA-19 (N)  4   7.87   0.98
2011-06-10 04:08:16 NOAA-18 (N)  3   5.92   1.17
2011-06-10 04:30:27 NOAA-16 (S)  1   1.74   2.48
2011-06-10 04:32:18 METP-02 (S)  3   4.41   1.03
2011-06-10 04:42:51 NOAA-15 (S)  3   5.75   1.39
2011-06-10 04:51:53 NOAA-17 (S)  1   2.47   1.67
2011-06-10 04:53:06 NOAA-19 (S)  3   4.43   1.19
2011-06-10 04:59:12 NOAA-18 (S)  2   3.00   1.39
2011-06-10 05:21:55 NOAA-16 (N)  3   5.17   2.72
2011-06-10 05:22:58 METP-02 (N)  3   5.72   1.47
2011-06-10 05:34:19 NOAA-15 (N)  3   4.05   1.60
2011-06-10 05:42:49 NOAA-17 (N)  2   3.70   2.22
2011-06-10 05:45:06 NOAA-19 (N)  3   5.01   0.82
2011-06-10 05:51:12 NOAA-18 (N)  2   3.78   0.95
2011-06-10 06:13:39 NOAA-16 (S)  1   0.90   2.30
2011-06-10 06:14:26 METP-02 (S)  1   2.43   1.79
2011-06-10 06:24:59 NOAA-15 (S)  2   3.89   1.48
2011-06-10 06:34:17 NOAA-17 (S)  1   1.56   2.16
2011-06-10 06:35:30 NOAA-19 (S)  2   3.75   1.03
2011-06-10 06:41:36 NOAA-18 (S)  1   1.52   1.23
2011-06-10 07:05:23 NOAA-16 (N)  2   3.24   2.69
2011-06-10 07:05:38 METP-02 (N)  3   5.67   2.01
2011-06-10 07:16:27 NOAA-15 (N)  2   2.70   1.30
2011-06-10 07:25:29 NOAA-17 (N)  3   4.62   2.55
