File created by python code using SuperMAGGetIndices

============================================================
<year>  <month>  <day>  <hour>  <min>  <sec>  <SME (nT)>  <SML (nT)>  <SMU (nT)>
2012  11  11  00  00  00    83.90   -29.36    54.54
2012  11  11  00  01  00    80.46   -25.36    55.10
2012  11  11  00  02  00    75.03   -23.65    51.37
2012  11  11  00  03  00    73.37   -22.00    51.37
2012  11  11  00  04  00    68.60   -20.27    48.33
2012  11  11  00  05  00    62.35   -19.04    43.31
2012  11  11  00  06  00    62.54   -21.21    41.33
2012  11  11  00  07  00    63.30   -22.08    41.23
2012  11  11  00  08  00    61.09   -18.97    42.13
2012  11  11  00  09  00    60.89   -17.73    43.17
2012  11  11  00  10  00    65.04   -20.04    45.00
2012  11  11  00  11  00    67.81   -22.70    45.11
2012  11  11  00  12  00    70.31   -24.25    46.06
2012  11  11  00  13  00    72.68   -26.61    46.07
2012  11  11  00  14  00    65.63   -23.14    42.49
2012  11  11  00  15  00    56.44   -18.63    37.82
2012  11  11  00  16  00    57.85   -20.30    37.55
2012  11  11  00  17  00    60.52   -22.21    38.31
2012  11  11  00  18  00    66.37   -28.35    38.03
2012  11  11  00  19  00    65.16   -28.90    36.26
2012  11  11  00  20  00    58.67   -21.30    37.37
2012  11  11  00  21  00    54.84   -16.90    37.94
2012  11  11  00  22  00    53.49   -15.14    38.35
2012  11  11  00  23  00    55.91   -17.33    38.58
2012  11  11  00  24  00    60.10   -17.96    42.14
2012  11  11  00  25  00    60.63   -17.59    43.04
2012  11  11  00  26  00    65.50   -20.76    44.73
2012  11  11  00  27  00    68.28   -23.19    45.09
2012  11  11  00  28  00    66.29   -23.96    42.33
2012  11  11  00  29  00    61.39   -24.27    37.12
2012  11  11  00  30  00    61.33   -26.81    34.52
2012  11  11  00  31  00    61.25   -27.21    34.04
2012  11  11  00  32  00    63.39   -29.34    34.05
2012  11  11  00  33  00    66.98   -32.28    34.70
2012  11  11  00  34  00    63.85   -27.40    36.45
2012  11  11  00  35  00    70.40   -32.79    37.61
2012  11  11  00  36  00    74.44   -36.98    37.46
2012  11  11  00  37  00    77.42   -40.90    36.52
2012  11  11  00  38  00    84.33   -48.44    35.89
2012  11  11  00  39  00    84.34   -49.51    34.83
2012  11  11  00  40  00    79.80   -46.68    33.12
2012  11  11  00  41  00    72.96   -41.36    31.60
2012  11  11  00  42  00    67.78   -36.10    31.69
2012  11  11  00  43  00    65.65   -33.11    32.54
2012  11  11  00  44  00    63.38   -29.60    33.78
2012  11  11  00  45  00    60.95   -25.92    35.04
2012  11  11  00  46  00    61.20   -24.97    36.23
2012  11  11  00  47  00    62.17   -25.73    36.44
2012  11  11  00  48  00    66.81   -31.11    35.70
2012  11  11  00  49  00    73.72   -38.31    35.41
2012  11  11  00  50  00    80.32   -45.00    35.33
2012  11  11  00  51  00    89.62   -45.30    44.32
2012  11  11  00  52  00    91.15   -44.00    47.15
2012  11  11  00  53  00    87.10   -47.49    39.61
2012  11  11  00  54  00    84.03   -48.30    35.73
2012  11  11  00  55  00    79.02   -46.65    32.37
2012  11  11  00  56  00    75.14   -43.92    31.22
2012  11  11  00  57  00    69.77   -40.28    29.48
2012  11  11  00  58  00    66.38   -37.18    29.21
2012  11  11  00  59  00    68.07   -38.01    30.06
2012  11  11  01  00  00    71.46   -40.04    31.42
2012  11  11  01  01  00    69.44   -38.18    31.26
2012  11  11  01  02  00    65.69   -32.80    32.89
2012  11  11  01  03  00    66.09   -31.00    35.09
2012  11  11  01  04  00    70.09   -32.57    37.52
2012  11  11  01  05  00    73.45   -34.15    39.30
2012  11  11  01  06  00    71.76   -32.99    38.78
