File created by python code using SuperMAGGetIndices

============================================================
<year>  <month>  <day>  <hour>  <min>  <sec>  <SME (nT)>  <SML (nT)>  <SMU (nT)>
2019  01  29  00  00  00    52.46   -23.75    28.71
2019  01  29  00  01  00    54.18   -25.21    28.97
2019  01  29  00  02  00    55.66   -26.68    28.98
2019  01  29  00  03  00    54.87   -26.19    28.68
2019  01  29  00  04  00    54.12   -25.56    28.56
2019  01  29  00  05  00    53.57   -25.17    28.40
2019  01  29  00  06  00    58.30   -29.90    28.40
2019  01  29  00  07  00    64.97   -36.27    28.70
2019  01  29  00  08  00    66.89   -38.34    28.55
2019  01  29  00  09  00    60.42   -31.92    28.50
2019  01  29  00  10  00    54.61   -25.71    28.89
2019  01  29  00  11  00    53.83   -25.20    28.63
2019  01  29  00  12  00    53.42   -25.00    28.42
2019  01  29  00  13  00    53.10   -25.05    28.06
2019  01  29  00  14  00    53.40   -25.53    27.87
2019  01  29  00  15  00    55.75   -27.84    27.91
2019  01  29  00  16  00    54.72   -27.11    27.62
2019  01  29  00  17  00    54.04   -26.39    27.64
2019  01  29  00  18  00    53.69   -25.87    27.82
2019  01  29  00  19  00    52.69   -24.26    28.42
2019  01  29  00  20  00    52.39   -23.99    28.40
2019  01  29  00  21  00    52.65   -24.43    28.22
2019  01  29  00  22  00    52.92   -24.74    28.18
2019  01  29  00  23  00    52.33   -24.34    27.99
2019  01  29  00  24  00    52.00   -24.06    27.94
2019  01  29  00  25  00    52.82   -24.60    28.22
2019  01  29  00  26  00    53.34   -24.78    28.55
2019  01  29  00  27  00    53.49   -24.82    28.67
2019  01  29  00  28  00    53.42   -24.92    28.50
2019  01  29  00  29  00    53.35   -25.04    28.31
2019  01  29  00  30  00    53.01   -24.97    28.04
2019  01  29  00  31  00    52.95   -25.06    27.88
2019  01  29  00  32  00    54.11   -25.01    29.10
2019  01  29  00  33  00    60.07   -25.17    34.91
2019  01  29  00  34  00    60.34   -25.25    35.09
2019  01  29  00  35  00    60.14   -25.29    34.86
2019  01  29  00  36  00    60.15   -25.39    34.76
2019  01  29  00  37  00    59.90   -25.27    34.64
2019  01  29  00  38  00    59.35   -25.22    34.13
2019  01  29  00  39  00    58.57   -24.70    33.87
2019  01  29  00  40  00    58.26   -24.73    33.53
2019  01  29  00  41  00    58.27   -24.85    33.42
2019  01  29  00  42  00    58.48   -24.74    33.73
2019  01  29  00  43  00    58.76   -24.70    34.05
2019  01  29  00  44  00    59.04   -24.63    34.41
2019  01  29  00  45  00    59.58   -24.65    34.92
2019  01  29  00  46  00    59.70   -24.52    35.18
2019  01  29  00  47  00    59.48   -24.59    34.89
2019  01  29  00  48  00    59.29   -24.63    34.66
2019  01  29  00  49  00    58.90   -24.51    34.39
2019  01  29  00  50  00    58.10   -24.21    33.89
2019  01  29  00  51  00    57.99   -24.20    33.79
2019  01  29  00  52  00    57.82   -24.27    33.55
2019  01  29  00  53  00    57.82   -24.40    33.41
2019  01  29  00  54  00    58.15   -24.53    33.62
2019  01  29  00  55  00    58.40   -24.63    33.77
2019  01  29  00  56  00    58.60   -24.80    33.80
2019  01  29  00  57  00    58.66   -24.83    33.83
2019  01  29  00  58  00    59.00   -24.84    34.17
2019  01  29  00  59  00    59.31   -24.69    34.61
2019  01  29  01  00  00    59.72   -24.65    35.07
2019  01  29  01  01  00    59.68   -24.52    35.17
2019  01  29  01  02  00    59.81   -24.71    35.09
2019  01  29  01  03  00    59.65   -24.86    34.79
2019  01  29  01  04  00    59.12   -24.84    34.28
2019  01  29  01  05  00    58.77   -24.87    33.90
2019  01  29  01  06  00    58.67   -25.01    33.67
2019  01  29  01  07  00    58.00   -24.83    33.17
2019  01  29  01  08  00    57.34   -24.43    32.91
2019  01  29  01  09  00    57.18   -24.27    32.91
2019  01  29  01  10  00    56.83   -24.32    32.51
2019  01  29  01  11  00    57.08   -24.38    32.70
2019  01  29  01  12  00    56.94   -24.26    32.68
2019  01  29  01  13  00    56.52   -23.94    32.58
2019  01  29  01  14  00    56.64   -24.25    32.38
2019  01  29  01  15  00    56.58   -24.42    32.16
2019  01  29  01  16  00    56.22   -24.37    31.85
2019  01  29  01  17  00    56.28   -24.54    31.74
2019  01  29  01  18  00    56.90   -25.16    31.74
2019  01  29  01  19  00    59.57   -27.73    31.85
2019  01  29  01  20  00    64.43   -32.36    32.07
2019  01  29  01  21  00    64.17   -31.95    32.22
2019  01  29  01  22  00    64.56   -32.28    32.27
2019  01  29  01  23  00    63.07   -30.25    32.83
2019  01  29  01  24  00    58.99   -25.91    33.07
2019  01  29  01  25  00    57.43   -24.45    32.97
2019  01  29  01  26  00    56.24   -23.11    33.13
2019  01  29  01  27  00    56.27   -23.28    32.98
2019  01  29  01  28  00    56.12   -23.49    32.63
2019  01  29  01  29  00    55.71   -22.76    32.95
2019  01  29  01  30  00    54.91   -21.26    33.65
2019  01  29  01  31  00    54.96   -20.85    34.11
2019  01  29  01  32  00    55.31   -21.21    34.10
2019  01  29  01  33  00    55.47   -21.24    34.23
2019  01  29  01  34  00    55.95   -21.67    34.28
2019  01  29  01  35  00    55.71   -21.88    33.83
2019  01  29  01  36  00    55.78   -22.25    33.53
2019  01  29  01  37  00    56.03   -22.77    33.26
2019  01  29  01  38  00    55.54   -22.74    32.80
2019  01  29  01  39  00    55.07   -22.68    32.39
2019  01  29  01  40  00    54.58   -22.59    31.99
2019  01  29  01  41  00    54.51   -22.71    31.80
2019  01  29  01  42  00    55.12   -23.33    31.79
2019  01  29  01  43  00    57.59   -25.70    31.89
2019  01  29  01  44  00    68.56   -37.00    31.56
2019  01  29  01  45  00    68.26   -37.04    31.23
2019  01  29  01  46  00    72.66   -40.65    32.01
2019  01  29  01  47  00    77.22   -44.76    32.46
2019  01  29  01  48  00    89.16   -56.48    32.68
2019  01  29  01  49  00   192.97  -160.90    32.07
2019  01  29  01  50  00   322.37  -290.50    31.87
2019  01  29  01  51  00   287.89  -256.28    31.61
2019  01  29  01  52  00   317.74  -287.79    29.95
2019  01  29  01  53  00   359.54  -330.33    29.21
2019  01  29  01  54  00   344.16  -315.70    28.47
2019  01  29  01  55  00   277.54  -249.56    27.98
2019  01  29  01  56  00   260.52  -231.65    28.86
2019  01  29  01  57  00   312.39  -283.74    28.65
2019  01  29  01  58  00   324.96  -296.47    28.49
2019  01  29  01  59  00   250.61  -221.93    28.68
2019  01  29  02  00  00   263.43  -235.69    27.75
2019  01  29  02  01  00   256.73  -229.39    27.34
2019  01  29  02  02  00   266.45  -240.02    26.43
2019  01  29  02  03  00   223.09  -196.39    26.70
2019  01  29  02  04  00   198.43  -170.82    27.61
2019  01  29  02  05  00   222.87  -194.58    28.29
2019  01  29  02  06  00   203.68  -175.02    28.67
2019  01  29  02  07  00   182.68  -153.96    28.71
2019  01  29  02  08  00   195.75  -166.76    28.98
2019  01  29  02  09  00   201.53  -172.69    28.84
2019  01  29  02  10  00   194.62  -165.89    28.74
2019  01  29  02  11  00   159.90  -131.20    28.70
2019  01  29  02  12  00   164.14  -136.03    28.12
2019  01  29  02  13  00   160.96  -132.86    28.10
2019  01  29  02  14  00   155.43  -127.18    28.25
2019  01  29  02  15  00   153.26  -124.88    28.38
2019  01  29  02  16  00   142.75  -113.81    28.94
2019  01  29  02  17  00   138.12  -108.36    29.76
2019  01  29  02  18  00   132.87  -102.74    30.13
2019  01  29  02  19  00   128.64   -98.82    29.82
2019  01  29  02  20  00   151.39  -121.10    30.29
2019  01  29  02  21  00   133.33  -102.84    30.50
2019  01  29  02  22  00   141.79  -110.95    30.84
2019  01  29  02  23  00   148.57  -116.63    31.94
2019  01  29  02  24  00   116.38   -84.33    32.05
2019  01  29  02  25  00   150.90  -119.09    31.80
2019  01  29  02  26  00   132.30  -100.42    31.88
2019  01  29  02  27  00   109.49   -78.20    31.29
2019  01  29  02  28  00   112.44   -81.56    30.89
2019  01  29  02  29  00   117.47   -86.30    31.17
2019  01  29  02  30  00   113.91   -81.90    32.01
2019  01  29  02  31  00   103.02   -70.76    32.26
2019  01  29  02  32  00   103.03   -70.88    32.15
2019  01  29  02  33  00    97.63   -65.16    32.47
2019  01  29  02  34  00    88.94   -56.91    32.03
2019  01  29  02  35  00    85.85   -53.97    31.88
2019  01  29  02  36  00    78.51   -46.53    31.98
2019  01  29  02  37  00    82.66   -50.57    32.09
2019  01  29  02  38  00    75.64   -43.40    32.24
2019  01  29  02  39  00    77.60   -45.74    31.86
2019  01  29  02  40  00    87.36   -55.57    31.79
2019  01  29  02  41  00    97.20   -65.24    31.97
2019  01  29  02  42  00   129.33   -97.66    31.67
2019  01  29  02  43  00   135.28  -104.27    31.01
2019  01  29  02  44  00   130.51   -99.94    30.57
2019  01  29  02  45  00   125.66   -94.96    30.70
2019  01  29  02  46  00   135.83  -105.40    30.43
2019  01  29  02  47  00   174.76  -144.50    30.25
2019  01  29  02  48  00   199.72  -169.42    30.29
2019  01  29  02  49  00   165.04  -134.74    30.30
2019  01  29  02  50  00   155.00  -125.03    29.97
2019  01  29  02  51  00   163.49  -133.13    30.36
2019  01  29  02  52  00   185.51  -155.44    30.07
2019  01  29  02  53  00   162.10  -132.22    29.88
2019  01  29  02  54  00   149.19  -119.28    29.91
2019  01  29  02  55  00    88.26   -57.96    30.30
2019  01  29  02  56  00    57.15   -26.06    31.09
2019  01  29  02  57  00    63.36   -31.51    31.85
2019  01  29  02  58  00    68.60   -36.34    32.26
2019  01  29  02  59  00    68.17   -35.27    32.90
2019  01  29  03  00  00    83.51   -49.81    33.71
2019  01  29  03  01  00    93.32   -60.00    33.32
2019  01  29  03  02  00   109.97   -77.21    32.76
2019  01  29  03  03  00   105.27   -72.61    32.66
2019  01  29  03  04  00    98.84   -65.91    32.93
2019  01  29  03  05  00    84.99   -51.94    33.05
2019  01  29  03  06  00    68.14   -35.31    32.83
2019  01  29  03  07  00    60.90   -28.23    32.67
2019  01  29  03  08  00    57.52   -24.49    33.03
2019  01  29  03  09  00    64.28   -31.30    32.98
2019  01  29  03  10  00    63.36   -30.54    32.82
2019  01  29  03  11  00    71.38   -38.31    33.07
2019  01  29  03  12  00    90.29   -57.67    32.62
2019  01  29  03  13  00    83.57   -50.97    32.61
2019  01  29  03  14  00    77.43   -44.64    32.79
2019  01  29  03  15  00    62.62   -29.61    33.01
2019  01  29  03  16  00    54.73   -21.81    32.91
2019  01  29  03  17  00    52.26   -19.77    32.49
2019  01  29  03  18  00    51.41   -19.00    32.41
2019  01  29  03  19  00    50.63   -18.44    32.18
2019  01  29  03  20  00    49.91   -17.88    32.04
2019  01  29  03  21  00    49.94   -17.77    32.17
2019  01  29  03  22  00    50.87   -18.31    32.57
2019  01  29  03  23  00    52.28   -19.15    33.13
2019  01  29  03  24  00    53.15   -19.51    33.64
2019  01  29  03  25  00    54.28   -20.48    33.80
2019  01  29  03  26  00    55.36   -21.48    33.89
2019  01  29  03  27  00    55.90   -21.98    33.91
2019  01  29  03  28  00    56.08   -22.66    33.42
2019  01  29  03  29  00    56.52   -23.36    33.17
2019  01  29  03  30  00    56.59   -23.44    33.15
2019  01  29  03  31  00    56.67   -23.18    33.49
2019  01  29  03  32  00    56.64   -23.21    33.43
