
Downloaded from OMNIWeb and processed by omniweb_read.py

No AlphaRatio was considered

#TIMEDELAY
0.0

#START
 2022 02 01 00 00 00 000   -4.54     0.29     2.83  -423.30     27.70     11.60    3.31    132240.0
 2022 02 01 00 01 00 000   -4.28     0.69     3.10  -426.60     18.10      9.10    3.44    136818.0
 2022 02 01 00 02 00 000   -3.52     1.94     2.76  -424.90     72.50     17.70    3.37    138420.0
 2022 02 01 00 03 00 000   -3.45     1.99     3.11  -434.90     27.10     27.40    3.25    112788.0
 2022 02 01 00 04 00 000   -2.97     2.34     2.51  -429.30     17.50     26.40    3.08    101207.0
 2022 02 01 00 05 00 000   -3.05     3.63     1.91  -434.00      6.30     30.90    2.88     96512.0
 2022 02 01 00 06 00 000   -2.64     4.03     1.89  -443.40      0.90     39.20    2.82    100908.0
 2022 02 01 00 07 00 000   -2.47     4.67     1.26  -443.40      0.90     39.20    2.82    100908.0
 2022 02 01 00 09 00 000   -2.76     4.74     0.20  -434.70      1.90     45.40    3.10    103594.0
 2022 02 01 00 10 00 000   -2.22     4.95    -0.09  -442.60      8.00     52.30    3.21    109772.0
 2022 02 01 00 11 00 000   -2.02     4.91     1.68  -446.50     11.00     55.70    3.27    112814.0
 2022 02 01 00 12 00 000   -2.26     4.80     1.82  -440.30      0.80     42.60    3.69    132566.0
 2022 02 01 00 13 00 000   -2.05     4.91     1.80  -440.30      0.80     42.60    3.69    132566.0
 2022 02 01 00 14 00 000   -2.37     5.05     0.84  -442.10      1.90     40.70    3.47    115854.0
 2022 02 01 00 15 00 000   -2.35     5.12     0.74  -442.10      1.90     40.70    3.47    115854.0
 2022 02 01 00 16 00 000   -2.57     4.99     0.71  -442.10      1.90     40.70    3.47    115854.0
 2022 02 01 00 17 00 000   -2.38     5.19     0.16  -442.10      1.90     40.70    3.47    115854.0
 2022 02 01 00 18 00 000   -2.41     5.18     0.33  -442.10      1.90     40.70    3.47    115854.0
 2022 02 01 00 19 00 000   -2.32     5.20     0.32  -441.70      4.50     51.40    3.19    118999.0
 2022 02 01 00 20 00 000   -2.33     5.20     0.06  -441.70      4.50     51.40    3.19    118999.0
 2022 02 01 00 21 00 000   -1.86     5.38    -0.00  -447.80      1.60     54.10    3.24    109227.0
 2022 02 01 00 22 00 000   -2.72     4.90    -0.60  -447.80      1.60     54.10    3.24    109227.0
 2022 02 01 00 23 00 000   -2.71     4.88    -0.98  -447.80      1.60     54.10    3.24    109227.0
 2022 02 01 00 24 00 000   -2.28     4.90     0.73  -447.80      1.60     54.10    3.24    109227.0
 2022 02 01 00 25 00 000   -1.99     4.89     1.73  -447.80      1.60     54.10    3.24    109227.0
 2022 02 01 00 26 00 000   -1.78     5.06     1.68  -447.80      1.60     54.10    3.24    109227.0
 2022 02 01 00 27 00 000   -1.64     5.14     1.55  -449.60      1.90     48.00    3.61    131436.0
 2022 02 01 00 28 00 000   -1.85     5.19     1.10  -449.60      1.90     48.00    3.61    131436.0
 2022 02 01 00 29 00 000   -1.82     5.24     1.04  -449.60      1.90     48.00    3.61    131436.0
 2022 02 01 00 30 00 000   -1.56     5.32     1.13  -449.60      1.90     48.00    3.61    131436.0
 2022 02 01 00 31 00 000   -1.84     5.27     0.92  -449.60      1.90     48.00    3.61    131436.0
