
Downloaded from OMNIWeb and processed by omniweb_read.py

No AlphaRatio was considered

#TIMEDELAY
0.0

#START
 2024 04 18 00 00 00 000    1.52    -3.95     5.36  -361.10      2.60    -13.10   10.01     54665.0
 2024 04 18 00 01 00 000   -0.18    -3.74     5.96  -360.10      1.40    -14.80    9.94     56986.0
 2024 04 18 00 02 00 000   -1.90    -2.83     6.43  -369.70      3.10    -20.30    7.93     43151.0
 2024 04 18 00 03 00 000   -1.11    -3.01     6.12  -366.60      1.40    -22.90    9.41     56724.0
 2024 04 18 00 04 00 000   -3.39    -1.96     6.59  -366.60      1.40    -22.90    9.41     56724.0
 2024 04 18 00 05 00 000   -2.53    -2.07     6.34  -374.60      5.50    -15.90    9.44     48034.0
 2024 04 18 00 06 00 000   -2.97    -1.80     6.33  -372.40      4.60    -18.20    8.39     41241.0
 2024 04 18 00 07 00 000   -3.57    -1.32     6.52  -371.60      5.10    -14.40    7.98     39266.0
 2024 04 18 00 08 00 000   -2.83    -1.77     6.47  -375.10      7.60    -12.60    9.47     48468.0
 2024 04 18 00 09 00 000   -3.62    -1.28     6.47  -370.00     10.60    -12.40    8.15     45402.0
 2024 04 18 00 10 00 000   -3.67    -0.75     7.00  -370.70     11.40    -13.40   10.35     46005.0
 2024 04 18 00 11 00 000   -3.73    -1.05     6.81  -380.80      1.80    -18.00   13.51     55674.0
 2024 04 18 00 12 00 000   -4.10    -0.80     7.04  -379.50      3.40    -24.10   12.52     61422.0
 2024 04 18 00 13 00 000   -3.75    -1.70     6.71  -375.60      3.70    -17.80   10.43     53667.0
 2024 04 18 00 14 00 000   -3.86    -1.05     6.95  -377.70      1.70    -15.30   11.85     60911.0
 2024 04 18 00 15 00 000   -3.73    -1.42     6.79  -378.70      1.20    -22.30   13.31     70021.0
 2024 04 18 00 16 00 000   -3.59    -2.30     7.24  -367.20      2.40    -13.00    8.30     46555.0
 2024 04 18 00 17 00 000   -4.17    -0.25     6.59  -370.40      1.70    -12.90    9.15     46272.0
 2024 04 18 00 18 00 000   -4.60     0.18     6.46  -377.20      0.50    -12.50   10.96     45804.0
 2024 04 18 00 19 00 000   -5.09    -0.27     6.01  -379.50     -1.00    -16.80   11.88     53167.0
 2024 04 18 00 20 00 000   -4.72    -0.34     6.64  -378.20     -1.10    -16.40   11.36     53414.0
 2024 04 18 00 21 00 000   -5.01     0.08     6.87  -377.20     -2.40    -21.30    9.61     40074.0
 2024 04 18 00 22 00 000   -4.84     1.52     6.17  -377.40     -2.40    -22.10    9.61     38627.0
 2024 04 18 00 23 00 000   -4.80     1.52     5.71  -384.10      3.10    -18.60   13.97     51035.0
 2024 04 18 00 24 00 000   -4.71     0.93     6.08  -384.90      6.50    -17.90   12.66     42604.0
 2024 04 18 00 25 00 000   -4.00     0.98     6.13  -383.50      5.10    -17.60   14.06     57095.0
 2024 04 18 00 26 00 000   -4.21     2.76     5.53  -383.10      8.50    -19.30   13.63     55096.0
 2024 04 18 00 27 00 000   -4.16     2.72     5.51  -382.60     11.90    -21.10   13.19     53082.0
 2024 04 18 00 28 00 000   -3.99     0.95     5.75  -382.60     11.90    -21.10   13.19     53082.0
 2024 04 18 00 29 00 000   -4.75     1.71     5.52  -380.30      5.40    -19.30   14.91     64652.0
 2024 04 18 00 30 00 000   -4.47     0.65     5.97  -380.30      5.40    -19.30   14.91     64652.0
 2024 04 18 00 31 00 000   -3.68    -2.31     6.93  -377.60      3.00    -23.40   11.93     59284.0
 2024 04 18 00 32 00 000   -3.11    -2.40     7.17  -377.20      2.70    -24.00   11.53     58554.0
 2024 04 18 00 33 00 000   -2.97    -2.50     7.08  -366.90     -9.40    -15.10   11.27     58855.0
 2024 04 18 00 34 00 000   -3.72    -1.89     6.85  -369.40     -6.00    -16.50   12.41     61575.0
 2024 04 18 00 35 00 000   -5.12     0.75     5.92  -371.40     -0.50    -23.10   12.00     56174.0
 2024 04 18 00 36 00 000   -5.19     1.82     5.82  -371.70      2.40    -27.80   10.73     50507.0
 2024 04 18 00 37 00 000   -4.75     1.07     6.00  -379.50     10.60    -34.00   11.12     53582.0
 2024 04 18 00 38 00 000   -5.77     0.34     6.93  -382.10     19.60    -33.30   10.09     34330.0
 2024 04 18 00 39 00 000   -5.59     0.89     6.53  -382.10     19.60    -33.30   10.09     34241.0
 2024 04 18 00 40 00 000   -5.35    -0.13     6.20  -381.00     -1.90    -22.40    9.93     34259.0
 2024 04 18 00 41 00 000   -5.57     1.59     6.06  -379.20     -0.20    -27.40   10.90     48532.0
 2024 04 18 00 42 00 000   -5.72     1.89     5.99  -378.90      1.00    -29.20   10.82     47950.0
 2024 04 18 00 43 00 000   -5.62     1.48     6.12  -379.00      1.20    -28.80   10.62     45411.0
 2024 04 18 00 44 00 000   -6.21     0.37     6.81  -379.00      1.20    -28.80   10.62     45411.0
 2024 04 18 00 45 00 000   -6.18     0.48     6.84  -379.00      1.20    -28.80   10.62     45411.0
 2024 04 18 00 46 00 000   -6.32     0.88     6.77  -381.70     -0.30    -26.50   10.02     35227.0
 2024 04 18 00 47 00 000   -6.20     0.73     6.80  -381.70     -0.30    -26.50   10.02     35227.0
 2024 04 18 00 48 00 000   -6.16     0.55     6.63  -381.70     -0.30    -26.50   10.02     35227.0
 2024 04 18 00 49 00 000   -6.16     0.32     6.75  -381.70     -0.30    -26.50   10.02     35227.0
 2024 04 18 00 50 00 000   -5.98     0.64     6.81  -381.70     -0.30    -26.50   10.02     35227.0
 2024 04 18 00 51 00 000   -6.25     0.58     6.75  -381.70     -0.30    -26.50   10.02     35227.0
 2024 04 18 00 52 00 000   -6.28     0.79     6.63  -381.70     -0.30    -26.50   10.02     35227.0
 2024 04 18 00 53 00 000   -6.23     1.00     6.68  -381.20      0.50    -25.20   10.55     40615.0
 2024 04 18 00 54 00 000   -6.29     1.13     6.64  -381.20      0.50    -25.20   10.55     40615.0
 2024 04 18 00 55 00 000   -6.28     1.21     6.58  -381.20      0.50    -25.20   10.55     40615.0
 2024 04 18 00 56 00 000   -6.14     1.00     6.70  -381.20      0.50    -25.20   10.55     40615.0
 2024 04 18 00 57 00 000   -6.08     0.92     6.73  -381.20      0.50    -25.20   10.55     40615.0
 2024 04 18 00 58 00 000   -6.13     0.95     6.79  -380.40      0.50    -23.80   10.10     36434.0
 2024 04 18 01 01 00 000   -6.04     0.98     6.71  -380.40      0.50    -23.80   10.10     36434.0
 2024 04 18 01 02 00 000   -6.10     1.26     6.30  -380.40      0.50    -23.80   10.10     36434.0
 2024 04 18 01 03 00 000   -6.48     2.11     6.10  -380.50      0.40    -28.20    9.96     33891.0
 2024 04 18 01 04 00 000   -6.76     2.36     5.74  -380.90      0.30    -27.00   10.17     34373.0
 2024 04 18 01 05 00 000   -7.06     2.42     5.32  -382.70      1.20    -30.00   10.85     32564.0
 2024 04 18 01 06 00 000   -7.04     2.48     5.39  -383.60      2.70    -32.30   10.57     34581.0
 2024 04 18 01 07 00 000   -6.99     2.24     5.49  -383.60      2.80    -32.40   10.55     34732.0
 2024 04 18 01 08 00 000   -6.03     1.99     6.55  -383.60      2.80    -32.40   10.55     34732.0
 2024 04 18 01 09 00 000   -6.40     2.78     5.53  -383.60      2.80    -32.40   10.55     34732.0
 2024 04 18 01 10 00 000   -6.14     0.66     6.73  -378.40      4.10    -14.50    9.68     27191.0
 2024 04 18 01 11 00 000   -6.45     0.05     6.66  -378.40      4.10    -14.50    9.68     27191.0
 2024 04 18 01 12 00 000   -6.48     0.08     6.65  -378.40      4.10    -14.50    9.68     27191.0
 2024 04 18 01 13 00 000   -6.42    -0.04     6.56  -378.40      4.10    -14.50    9.68     27191.0
 2024 04 18 01 14 00 000   -6.57     1.63     5.87  -378.40      4.10    -14.50    9.68     27191.0
 2024 04 18 01 15 00 000   -6.60     3.54     4.89  -378.40      4.10    -14.50    9.68     27191.0
 2024 04 18 01 16 00 000   -6.69     3.36     5.04  -382.20      7.10    -32.00   11.31     34068.0
 2024 04 18 01 17 00 000   -6.71     3.36     4.96  -382.20      7.10    -32.00   11.31     34068.0
 2024 04 18 01 18 00 000   -6.58     2.33     6.09  -383.80      6.70    -27.10   10.02     30819.0
 2024 04 18 01 19 00 000   -6.35     2.16     5.92  -383.80      6.50    -28.50   10.28     30975.0
 2024 04 18 01 20 00 000   -5.82     0.58     6.63  -383.90      6.20    -32.00   10.94     31366.0
 2024 04 18 01 21 00 000   -4.84    -1.92     7.50  -383.90      6.20    -32.00   10.94     31366.0
 2024 04 18 01 22 00 000   -5.62    -0.46     7.63  -381.10      0.80    -15.50    8.93     27391.0
 2024 04 18 01 23 00 000   -5.78     0.77     7.09  -381.00      1.00    -15.30    9.04     28576.0
 2024 04 18 01 24 00 000   -6.22     0.25     7.32  -380.50      4.00    -21.30    9.05     31630.0
 2024 04 18 01 25 00 000   -6.32     0.86     6.93  -381.20      1.20    -19.30    8.14     26657.0
 2024 04 18 01 26 00 000   -6.26     0.96     6.95  -381.20      1.20    -19.30    8.14     26657.0
 2024 04 18 01 27 00 000   -6.39     0.90     7.10  -383.30     -1.10    -17.50    8.76     29282.0
 2024 04 18 01 28 00 000   -6.31     0.94     7.23  -383.30     -1.10    -17.50    8.76     29282.0
 2024 04 18 01 29 00 000   -6.21     0.92     7.32  -383.30     -1.10    -17.50    8.76     29282.0
 2024 04 18 01 30 00 000   -6.13     1.19     7.40  -383.30     -1.10    -17.50    8.76     29282.0
 2024 04 18 01 31 00 000   -6.00     1.24     7.45  -383.30     -1.10    -17.50    8.76     29282.0
 2024 04 18 01 32 00 000   -5.93     0.94     7.43  -383.30     -1.10    -17.50    8.76     29282.0
 2024 04 18 01 33 00 000   -6.29     0.47     6.72  -380.00     -3.40    -13.90    9.43     30940.0
 2024 04 18 01 34 00 000   -5.77     1.46     6.83  -379.90     -3.40    -12.30    9.46     31794.0
 2024 04 18 01 35 00 000   -6.33     0.91     6.89  -379.90     -3.40     -7.30    9.56     34500.0
 2024 04 18 01 36 00 000   -6.37     1.45     6.18  -381.40     -3.60    -16.40    9.65     44104.0
 2024 04 18 01 37 00 000   -6.32     1.18     6.72  -381.40     -3.70    -16.40    9.64     43618.0
 2024 04 18 01 38 00 000   -6.24     1.72     6.48  -381.10     -5.10    -15.60    9.39     29602.0
 2024 04 18 01 39 00 000   -6.25     1.75     6.29  -381.10     -5.10    -15.60    9.39     29602.0
 2024 04 18 01 40 00 000   -6.38     1.57     6.36  -381.10     -5.10    -15.60    9.39     29602.0
 2024 04 18 01 43 00 000   -6.50     2.61     5.78  -382.80     -1.40    -25.80    9.33     31866.0
 2024 04 18 01 44 00 000   -6.59     3.21     5.46  -382.80     -1.40    -25.80    9.33     31866.0
 2024 04 18 01 45 00 000   -6.48     3.06     5.40  -382.80     -1.40    -25.80    9.33     31866.0
 2024 04 18 01 46 00 000   -6.25     3.12     5.29  -382.50     -3.20    -22.90    9.93     35872.0
 2024 04 18 01 47 00 000   -5.38     2.28     4.54  -382.50     -3.20    -22.90    9.93     35872.0
 2024 04 18 01 48 00 000   -5.32     1.45     4.87  -387.80      1.80    -16.00   11.13     53386.0
 2024 04 18 01 49 00 000   -3.05    -2.23     5.79  -387.20      3.10    -17.70   11.24     54151.0
 2024 04 18 01 50 00 000    0.05    -3.79     5.86  -385.20      7.30    -23.20   11.59     56613.0
 2024 04 18 01 51 00 000   -3.70    -1.41     6.87  -371.50    -15.80     -9.40   11.61     51056.0
 2024 04 18 01 52 00 000   -4.94    -1.15     6.30  -371.50    -15.80     -9.40   11.61     51056.0
 2024 04 18 01 53 00 000   -4.81    -0.36     6.76  -371.50    -15.80     -9.40   11.61     51056.0
 2024 04 18 01 54 00 000   -4.98     0.22     6.64  -371.50    -15.80     -9.40   11.61     51056.0
 2024 04 18 01 55 00 000   -5.67     1.11     6.29  -371.50    -15.80     -9.40   11.61     51056.0
 2024 04 18 01 56 00 000   -5.39     1.62     5.76  -380.10    -12.80     -7.20   11.02     47771.0
 2024 04 18 01 57 00 000   -5.74     1.50     5.73  -380.70     -6.30     -8.60   11.08     46391.0
 2024 04 18 01 58 00 000   -6.74     3.04     5.28  -384.70     -2.80     -8.80   11.02     46637.0
 2024 04 18 01 59 00 000   -6.48     2.97     5.30  -389.40      5.30    -20.70    9.93     41629.0
 2024 04 18 02 00 00 000   -5.70     0.31     5.66  -390.50      8.50    -25.80    9.49     39309.0
 2024 04 18 02 01 00 000   -4.70    -2.29     6.85  -390.50      8.50    -25.80    9.49     39309.0
 2024 04 18 02 02 00 000   -4.67    -2.59     6.56  -390.50      8.50    -25.80    9.49     39309.0
 2024 04 18 02 03 00 000   -3.55    -3.30     6.00  -388.70     -3.70    -16.70   11.92     70309.0
 2024 04 18 02 04 00 000   -1.84    -4.85     5.35  -388.70     -3.70    -16.70   11.92     70309.0
 2024 04 18 02 05 00 000   -1.61    -5.20     5.45  -388.70     -3.70    -16.70   11.92     70309.0
 2024 04 18 02 06 00 000   -1.49    -5.44     5.07  -388.70     -3.70    -16.70   11.92     70309.0
 2024 04 18 02 07 00 000   -1.97    -4.10     4.37  -388.70     -3.70    -16.70   11.92     70309.0
 2024 04 18 02 08 00 000   -1.32    -3.37     3.38  -388.70     -3.70    -16.70   11.92     70309.0
 2024 04 18 02 09 00 000   -1.32    -3.51     3.82  -400.30      6.90     -7.00   11.15     67289.0
 2024 04 18 02 10 00 000   -1.34    -3.89     3.83  -400.30      6.90     -7.00   11.15     67289.0
 2024 04 18 02 11 00 000   -1.61    -4.17     4.63  -400.30      6.90     -7.00   11.15     67289.0
 2024 04 18 02 12 00 000   -2.88    -3.72     5.17  -396.80     13.60     -1.70   12.33     77107.0
 2024 04 18 02 13 00 000   -3.25    -3.71     5.96  -396.80     13.60     -1.70   12.33     77107.0
 2024 04 18 02 14 00 000   -3.48    -4.66     6.96  -396.80     13.60     -1.70   12.33     77107.0
 2024 04 18 02 15 00 000   -3.50    -4.78     6.81  -396.80     13.60     -1.70   12.33     77107.0
 2024 04 18 02 16 00 000   -3.46    -4.81     6.78  -398.20     -2.70     -3.80    8.89     43356.0
 2024 04 18 02 17 00 000   -3.41    -4.70     6.99  -398.20     -2.70     -3.80    8.89     43356.0
 2024 04 18 02 18 00 000   -3.42    -4.74     6.95  -398.20     -2.70     -3.80    8.89     43356.0
 2024 04 18 02 19 00 000   -3.53    -4.72     6.94  -398.20     -2.70     -3.80    8.89     43356.0
 2024 04 18 02 20 00 000   -3.46    -4.69     6.95  -396.10     -0.30     -9.50    8.13     31810.0
 2024 04 18 02 21 00 000   -4.07    -3.81     6.51  -396.10     -0.30     -9.50    8.13     31810.0
 2024 04 18 02 22 00 000   -3.73    -4.47     6.92  -398.30     -2.80     -0.90    8.52     41593.0
 2024 04 18 02 23 00 000   -3.17    -4.95     6.70  -398.30     -2.80     -0.90    8.52     41593.0
 2024 04 18 02 24 00 000   -3.35    -4.54     6.68  -398.30     -2.80     -0.90    8.52     41593.0
 2024 04 18 02 25 00 000   -3.40    -4.26     6.59  -400.40     -2.30      3.20    9.04     45820.0
 2024 04 18 02 26 00 000   -2.60    -4.82     6.48  -400.40     -2.30      3.20    9.04     45829.0
 2024 04 18 02 27 00 000   -4.75    -3.01     6.30  -397.00     -1.80     -5.70   10.14     53726.0
 2024 04 18 02 28 00 000   -4.91    -2.73     6.33  -397.00     -1.80     -5.70   10.14     53726.0
