File created by python code using SuperMAGGetIndices

============================================================
<year>  <month>  <day>  <hour>  <min>  <sec>  <SME (nT)>  <SML (nT)>  <SMU (nT)>
2024  10  06  00  00  00    46.09   -11.70    34.40
2024  10  06  00  01  00    45.93   -11.79    34.14
2024  10  06  00  02  00    45.81   -11.09    34.72
2024  10  06  00  03  00    44.45    -9.62    34.83
2024  10  06  00  04  00    42.90    -8.40    34.49
2024  10  06  00  05  00    46.17   -11.95    34.22
2024  10  06  00  06  00    49.33   -15.04    34.29
2024  10  06  00  07  00    50.15   -15.93    34.22
2024  10  06  00  08  00    49.60   -15.17    34.43
2024  10  06  00  09  00    45.73   -11.18    34.56
2024  10  06  00  10  00    46.31   -11.47    34.85
2024  10  06  00  11  00    46.39   -11.35    35.03
2024  10  06  00  12  00    46.49   -11.30    35.19
2024  10  06  00  13  00    45.67   -10.63    35.05
2024  10  06  00  14  00    44.98    -9.87    35.11
2024  10  06  00  15  00    47.89   -13.05    34.84
2024  10  06  00  16  00    50.34   -15.53    34.81
2024  10  06  00  17  00    49.96   -15.42    34.53
2024  10  06  00  18  00    47.95   -13.72    34.23
2024  10  06  00  19  00    47.24   -13.44    33.80
2024  10  06  00  20  00    46.26   -13.06    33.20
2024  10  06  00  21  00    43.77   -11.27    32.50
2024  10  06  00  22  00    52.24    -9.62    42.62
2024  10  06  00  23  00    56.43    -8.56    47.88
2024  10  06  00  24  00    60.85    -7.57    53.28
2024  10  06  00  25  00    59.34    -6.15    53.19
2024  10  06  00  26  00    58.49    -4.23    54.26
2024  10  06  00  27  00    60.71    -2.55    58.16
2024  10  06  00  28  00    66.27    -3.86    62.41
2024  10  06  00  29  00    69.69    -6.26    63.43
2024  10  06  00  30  00    68.88    -7.12    61.76
2024  10  06  00  31  00    66.38    -7.70    58.68
2024  10  06  00  32  00    63.99    -8.58    55.41
2024  10  06  00  33  00    61.31    -9.56    51.75
2024  10  06  00  34  00    59.57   -10.83    48.74
2024  10  06  00  35  00    59.36   -11.68    47.67
2024  10  06  00  36  00    58.21   -12.45    45.76
2024  10  06  00  37  00    52.50   -12.94    39.57
2024  10  06  00  38  00    48.00   -12.50    35.50
2024  10  06  00  39  00    42.84   -11.97    30.86
2024  10  06  00  40  00    38.51   -11.81    26.69
2024  10  06  00  41  00    37.20   -12.01    25.19
2024  10  06  00  42  00    36.70   -11.29    25.41
2024  10  06  00  43  00    37.17   -11.17    26.00
2024  10  06  00  44  00    37.87   -11.51    26.36
2024  10  06  00  45  00    38.54   -11.96    26.58
2024  10  06  00  46  00    39.29   -12.83    26.46
2024  10  06  00  47  00    38.97   -13.04    25.93
2024  10  06  00  48  00    38.61   -13.03    25.59
2024  10  06  00  49  00    38.81   -13.37    25.44
2024  10  06  00  50  00    39.52   -14.25    25.27
2024  10  06  00  51  00    39.79   -15.13    24.66
2024  10  06  00  52  00    39.92   -15.89    24.03
2024  10  06  00  53  00    39.96   -16.29    23.67
2024  10  06  00  54  00    39.83   -16.36    23.47
2024  10  06  00  55  00    40.72   -17.09    23.63
2024  10  06  00  56  00    41.17   -17.54    23.63
2024  10  06  00  57  00    41.07   -17.59    23.49
2024  10  06  00  58  00    40.23   -17.04    23.20
2024  10  06  00  59  00    39.01   -15.91    23.10
2024  10  06  01  00  00    38.49   -15.80    22.68
2024  10  06  01  01  00    37.89   -15.33    22.56
2024  10  06  01  02  00    38.41   -15.49    22.91
2024  10  06  01  03  00    38.70   -15.83    22.87
2024  10  06  01  04  00    39.72   -16.36    23.36
2024  10  06  01  05  00    40.64   -17.08    23.56
2024  10  06  01  06  00    39.71   -16.69    23.02
2024  10  06  01  07  00    38.69   -16.07    22.62
2024  10  06  01  08  00    37.70   -15.09    22.61
2024  10  06  01  09  00    35.91   -13.52    22.39
2024  10  06  01  10  00    35.40   -13.49    21.91
2024  10  06  01  11  00    35.82   -14.05    21.78
2024  10  06  01  12  00    36.21   -14.34    21.86
2024  10  06  01  13  00    36.73   -15.02    21.71
2024  10  06  01  14  00    37.18   -15.57    21.61
2024  10  06  01  15  00    37.53   -16.19    21.34
2024  10  06  01  16  00    38.69   -16.80    21.88
2024  10  06  01  17  00    39.29   -16.73    22.56
2024  10  06  01  18  00    38.90   -15.63    23.27
2024  10  06  01  19  00    38.76   -14.60    24.16
2024  10  06  01  20  00    39.30   -14.59    24.71
2024  10  06  01  21  00    38.04   -13.63    24.41
2024  10  06  01  22  00    35.93   -12.35    23.59
2024  10  06  01  23  00    35.70   -12.42    23.28
2024  10  06  01  24  00    36.20   -13.56    22.64
2024  10  06  01  25  00    37.13   -14.98    22.14
2024  10  06  01  26  00    37.95   -16.43    21.52
2024  10  06  01  27  00    39.66   -18.37    21.29
2024  10  06  01  28  00    40.61   -19.20    21.41
2024  10  06  01  29  00    39.76   -18.21    21.55
2024  10  06  01  30  00    38.27   -16.45    21.83
2024  10  06  01  31  00    36.64   -14.75    21.89
2024  10  06  01  32  00    35.89   -14.27    21.63
2024  10  06  01  33  00    35.24   -14.33    20.91
2024  10  06  01  34  00    32.58   -12.42    20.16
2024  10  06  01  35  00    30.49   -10.69    19.80
2024  10  06  01  36  00    30.25   -10.51    19.74
2024  10  06  01  37  00    31.06   -11.38    19.68
2024  10  06  01  38  00    32.42   -12.90    19.52
2024  10  06  01  39  00    33.91   -14.26    19.65
2024  10  06  01  40  00    32.86   -13.28    19.58
2024  10  06  01  41  00    30.78   -11.17    19.62
2024  10  06  01  42  00    28.77    -9.10    19.67
2024  10  06  01  43  00    28.17    -8.03    20.14
2024  10  06  01  44  00    29.29    -7.27    22.03
2024  10  06  01  45  00    28.94    -6.35    22.58
2024  10  06  01  46  00    26.23    -5.85    20.38
2024  10  06  01  47  00    27.15    -7.25    19.90
2024  10  06  01  48  00    28.64    -8.49    20.16
2024  10  06  01  49  00    27.66    -7.27    20.39
