File created by python code using write_sme_file

Data downloaded from OMNIWeb and written in SME format

============================================================
<year>  <month>  <day>  <hour>  <min>  <sec>  <SME (nT)>  <SML (nT)>  <SMU (nT)>
2026  01  18  00  00  00   325.00  -189.00   136.00
2026  01  18  00  01  00   302.00  -189.00   113.00
2026  01  18  00  02  00   325.00  -179.00   146.00
2026  01  18  00  03  00   360.00  -186.00   174.00
2026  01  18  00  04  00   336.00  -172.00   164.00
2026  01  18  00  05  00   309.00  -157.00   152.00
2026  01  18  00  06  00   274.00  -153.00   121.00
2026  01  18  00  07  00   261.00  -152.00   109.00
2026  01  18  00  08  00   250.00  -143.00   107.00
2026  01  18  00  09  00   229.00  -136.00    93.00
2026  01  18  00  10  00   214.00  -135.00    79.00
2026  01  18  00  11  00   199.00  -132.00    67.00
2026  01  18  00  12  00   191.00  -123.00    68.00
2026  01  18  00  13  00   191.00  -116.00    75.00
2026  01  18  00  14  00   198.00  -112.00    86.00
2026  01  18  00  15  00   200.00  -106.00    94.00
2026  01  18  00  16  00   193.00  -100.00    93.00
2026  01  18  00  17  00   181.00   -99.00    82.00
2026  01  18  00  18  00   173.00   -95.00    78.00
2026  01  18  00  19  00   162.00   -88.00    74.00
2026  01  18  00  20  00   155.00   -89.00    66.00
2026  01  18  00  21  00   142.00   -87.00    55.00
2026  01  18  00  22  00   131.00   -79.00    52.00
2026  01  18  00  23  00   124.00   -76.00    48.00
2026  01  18  00  24  00   120.00   -71.00    49.00
2026  01  18  00  25  00   136.00   -77.00    59.00
2026  01  18  00  26  00   117.00   -80.00    37.00
2026  01  18  00  27  00   115.00   -85.00    30.00
2026  01  18  00  28  00   126.00   -87.00    39.00
2026  01  18  00  29  00   148.00   -96.00    52.00
2026  01  18  00  30  00   190.00  -105.00    85.00
2026  01  18  00  31  00   212.00  -117.00    95.00
2026  01  18  00  32  00   212.00  -120.00    92.00
2026  01  18  00  33  00   198.00  -120.00    78.00
2026  01  18  00  34  00   183.00  -115.00    68.00
2026  01  18  00  35  00   169.00  -110.00    59.00
2026  01  18  00  36  00   181.00  -114.00    67.00
2026  01  18  00  37  00   179.00  -115.00    64.00
2026  01  18  00  38  00   183.00  -118.00    65.00
2026  01  18  00  39  00   181.00  -113.00    68.00
2026  01  18  00  40  00   184.00  -114.00    70.00
2026  01  18  00  41  00   205.00  -120.00    85.00
2026  01  18  00  42  00   197.00  -118.00    79.00
2026  01  18  00  43  00   175.00  -114.00    61.00
2026  01  18  00  44  00   170.00  -106.00    64.00
2026  01  18  00  45  00   172.00   -98.00    74.00
2026  01  18  00  46  00   155.00   -94.00    61.00
2026  01  18  00  47  00   156.00   -91.00    65.00
2026  01  18  00  48  00   154.00   -84.00    70.00
2026  01  18  00  49  00   141.00   -78.00    63.00
2026  01  18  00  50  00   138.00   -79.00    59.00
2026  01  18  00  51  00   154.00   -95.00    59.00
2026  01  18  00  52  00   188.00  -105.00    83.00
2026  01  18  00  53  00   161.00  -105.00    56.00
2026  01  18  00  54  00   140.00   -97.00    43.00
2026  01  18  00  55  00   148.00   -92.00    56.00
2026  01  18  00  56  00   152.00   -82.00    70.00
2026  01  18  00  57  00   123.00   -70.00    53.00
2026  01  18  00  58  00   117.00   -61.00    56.00
2026  01  18  00  59  00   122.00   -51.00    71.00
2026  01  18  01  00  00   114.00   -42.00    72.00
2026  01  18  01  01  00   108.00   -46.00    62.00
2026  01  18  01  02  00   109.00   -54.00    55.00
2026  01  18  01  03  00   104.00   -62.00    42.00
2026  01  18  01  04  00    99.00   -57.00    42.00
2026  01  18  01  05  00   105.00   -56.00    49.00
2026  01  18  01  06  00   128.00   -66.00    62.00
2026  01  18  01  07  00   127.00   -73.00    54.00
2026  01  18  01  08  00   123.00   -79.00    44.00
2026  01  18  01  09  00   127.00   -83.00    44.00
2026  01  18  01  10  00   131.00   -89.00    42.00
2026  01  18  01  11  00   119.00   -86.00    33.00
2026  01  18  01  12  00   120.00   -82.00    38.00
2026  01  18  01  13  00   147.00   -82.00    65.00
2026  01  18  01  14  00   156.00   -79.00    77.00
2026  01  18  01  15  00   170.00   -77.00    93.00
2026  01  18  01  16  00   163.00   -77.00    86.00
2026  01  18  01  17  00   153.00   -75.00    78.00
2026  01  18  01  18  00   139.00   -74.00    65.00
2026  01  18  01  19  00   132.00   -78.00    54.00
2026  01  18  01  20  00   128.00   -87.00    41.00
2026  01  18  01  21  00   148.00   -83.00    65.00
2026  01  18  01  22  00   130.00   -80.00    50.00
2026  01  18  01  23  00   149.00   -86.00    63.00
2026  01  18  01  24  00   175.00   -86.00    89.00
2026  01  18  01  25  00   172.00   -81.00    91.00
2026  01  18  01  26  00   161.00   -72.00    89.00
2026  01  18  01  27  00   143.00   -76.00    67.00
2026  01  18  01  28  00   127.00   -74.00    53.00
2026  01  18  01  29  00   119.00   -58.00    61.00
2026  01  18  01  30  00   148.00   -58.00    90.00
2026  01  18  01  31  00   148.00   -62.00    86.00
