File created by python code using SuperMAGGetIndices

============================================================
<year>  <month>  <day>  <hour>  <min>  <sec>  <SME (nT)>  <SML (nT)>  <SMU (nT)>
2013  03  10  00  00  00    51.49   -16.90    34.59
2013  03  10  00  01  00    50.74   -17.15    33.59
2013  03  10  00  02  00    50.43   -16.85    33.58
2013  03  10  00  03  00    51.27   -16.69    34.58
2013  03  10  00  04  00    50.99   -16.42    34.57
2013  03  10  00  05  00    50.92   -16.35    34.57
2013  03  10  00  06  00    48.20   -15.64    32.56
2013  03  10  00  07  00    46.94   -14.38    32.56
2013  03  10  00  08  00    46.92   -13.37    33.55
2013  03  10  00  09  00    46.46   -12.91    33.55
2013  03  10  00  10  00    48.11   -13.57    34.54
2013  03  10  00  11  00    48.16   -13.62    34.54
2013  03  10  00  12  00    47.47   -12.94    34.53
2013  03  10  00  13  00    44.96   -11.44    33.52
2013  03  10  00  14  00    43.29    -9.78    33.51
2013  03  10  00  15  00    41.69    -9.18    32.51
2013  03  10  00  16  00    42.49    -8.99    33.50
2013  03  10  00  17  00    42.40    -7.90    34.49
2013  03  10  00  18  00    46.60   -10.11    36.49
2013  03  10  00  19  00    48.87   -12.39    36.47
2013  03  10  00  20  00    44.28    -8.81    35.46
2013  03  10  00  21  00    44.33    -8.87    35.45
2013  03  10  00  22  00    42.99    -8.54    34.44
2013  03  10  00  23  00    43.06    -9.62    33.44
2013  03  10  00  24  00    43.61   -10.19    33.43
2013  03  10  00  25  00    44.35    -8.94    35.42
2013  03  10  00  26  00    45.76    -8.35    37.41
2013  03  10  00  27  00    47.86   -10.46    37.39
2013  03  10  00  28  00    51.66   -15.28    36.38
2013  03  10  00  29  00    51.74   -14.38    37.37
2013  03  10  00  30  00    49.50   -11.14    38.36
2013  03  10  00  31  00    50.40   -12.06    38.34
2013  03  10  00  32  00    50.89   -13.56    37.33
2013  03  10  00  33  00    50.86   -13.54    37.32
2013  03  10  00  34  00    59.01   -14.47    44.53
2013  03  10  00  35  00    54.59   -15.10    39.49
2013  03  10  00  36  00    48.41   -12.96    35.46
2013  03  10  00  37  00    45.01   -10.75    34.26
2013  03  10  00  38  00    54.84   -17.60    37.24
2013  03  10  00  39  00    55.72   -17.50    38.22
2013  03  10  00  40  00    51.23   -11.02    40.21
2013  03  10  00  41  00    54.73   -13.54    41.19
2013  03  10  00  42  00    56.11   -15.94    40.17
2013  03  10  00  43  00    56.02   -18.86    37.16
2013  03  10  00  44  00    72.78   -19.50    53.28
2013  03  10  00  45  00    73.78   -19.62    54.17
2013  03  10  00  46  00    63.32   -18.84    44.48
2013  03  10  00  47  00    55.95   -17.26    38.70
2013  03  10  00  48  00    49.72   -15.65    34.07
2013  03  10  00  49  00    48.43   -13.37    35.05
2013  03  10  00  50  00    47.89   -12.85    35.04
2013  03  10  00  51  00    46.98   -12.96    34.02
2013  03  10  00  52  00    47.34   -13.34    34.00
2013  03  10  00  53  00    48.37   -14.39    33.98
2013  03  10  00  54  00    48.33   -14.36    33.96
2013  03  10  00  55  00    47.27   -13.32    33.94
2013  03  10  00  56  00    46.72   -12.80    33.93
2013  03  10  00  57  00    47.30   -12.39    34.91
2013  03  10  00  58  00    46.50   -11.61    34.89
2013  03  10  00  59  00    46.91   -11.04    35.87
2013  03  10  01  00  00    47.06   -10.21    36.85
2013  03  10  01  01  00    47.01   -10.17    36.84
2013  03  10  01  02  00    46.53   -10.72    35.82
2013  03  10  01  03  00    47.32   -10.52    36.80
2013  03  10  01  04  00    47.04   -10.26    36.78
2013  03  10  01  05  00    45.83   -10.07    35.76
2013  03  10  01  06  00    45.51    -9.77    35.74
2013  03  10  01  07  00    44.98    -9.26    35.72
2013  03  10  01  08  00    46.79    -9.09    37.70
2013  03  10  01  09  00    47.58    -8.89    38.69
2013  03  10  01  10  00    47.72    -9.05    38.66
2013  03  10  01  11  00    47.85    -9.21    38.64
2013  03  10  01  12  00    47.82   -10.20    37.62
2013  03  10  01  13  00    48.13   -10.52    37.60
2013  03  10  01  14  00    48.06   -10.48    37.58
2013  03  10  01  15  00    47.97   -10.41    37.57
2013  03  10  01  16  00    46.52    -9.98    36.55
2013  03  10  01  17  00    45.43    -9.90    35.53
2013  03  10  01  18  00    45.50    -9.99    35.51
2013  03  10  01  19  00    44.98    -9.49    35.49
2013  03  10  01  20  00    44.29    -8.82    35.47
2013  03  10  01  21  00    43.17    -7.72    35.45
2013  03  10  01  22  00    43.43    -6.99    36.43
2013  03  10  01  23  00    44.29    -6.88    37.41
2013  03  10  01  24  00    44.78    -7.39    37.40
2013  03  10  01  25  00    45.35    -7.97    37.38
2013  03  10  01  26  00    45.61    -8.25    37.36
2013  03  10  01  27  00    45.91    -8.57    37.34
2013  03  10  01  28  00    46.13    -8.81    37.32
2013  03  10  01  29  00    46.04    -8.73    37.30
2013  03  10  01  30  00    45.82    -8.53    37.28
2013  03  10  01  31  00    45.74    -8.47    37.27
2013  03  10  01  32  00    46.15    -8.91    37.25
2013  03  10  01  33  00    46.23    -9.00    37.23
2013  03  10  01  34  00    45.23    -9.02    36.21
2013  03  10  01  35  00    45.54    -9.34    36.20
2013  03  10  01  36  00    45.29    -9.11    36.18
2013  03  10  01  37  00    44.88    -8.72    36.16
2013  03  10  01  38  00    45.18    -9.03    36.14
2013  03  10  01  39  00    45.42    -9.30    36.13
2013  03  10  01  40  00    46.91    -9.80    37.11
2013  03  10  01  41  00    47.76   -10.66    37.09
2013  03  10  01  42  00    48.43   -11.35    37.08
2013  03  10  01  43  00    47.24   -11.18    36.06
2013  03  10  01  44  00    47.08   -11.04    36.04
2013  03  10  01  45  00    46.92   -10.89    36.03
2013  03  10  01  46  00    45.81    -9.80    36.01
2013  03  10  01  47  00    44.84    -8.84    35.99
2013  03  10  01  48  00    44.00    -9.03    34.98
2013  03  10  01  49  00    45.42    -9.46    35.96
2013  03  10  01  50  00    45.88    -9.94    35.94
2013  03  10  01  51  00    46.55   -10.62    35.93
2013  03  10  01  52  00    48.11   -11.20    36.91
2013  03  10  01  53  00    48.44   -11.54    36.90
2013  03  10  01  54  00    48.54   -11.66    36.88
2013  03  10  01  55  00    48.54   -11.67    36.87
2013  03  10  01  56  00    48.39   -11.54    36.85
2013  03  10  01  57  00    49.04   -11.20    37.84
2013  03  10  01  58  00    47.91   -11.08    36.82
2013  03  10  01  59  00    47.50   -10.69    36.81
2013  03  10  02  00  00    47.44   -10.64    36.79
2013  03  10  02  01  00    47.23   -10.45    36.78
2013  03  10  02  02  00    48.25   -10.49    37.77
2013  03  10  02  03  00    47.56   -10.81    36.75
2013  03  10  02  04  00    47.52   -10.78    36.74
2013  03  10  02  05  00    46.76   -11.03    35.73
2013  03  10  02  06  00    46.87   -11.16    35.71
2013  03  10  02  07  00    47.27   -11.56    35.70
2013  03  10  02  08  00    46.80   -12.12    34.69
2013  03  10  02  09  00    45.78   -12.10    33.68
2013  03  10  02  10  00    47.13   -12.46    34.67
2013  03  10  02  11  00    48.36   -12.70    35.65
2013  03  10  02  12  00    52.79   -12.14    40.64
2013  03  10  02  13  00    55.06   -11.82    43.24
2013  03  10  02  14  00    48.34   -12.72    35.62
2013  03  10  02  15  00    47.94   -12.33    35.61
2013  03  10  02  16  00    47.75   -12.15    35.59
2013  03  10  02  17  00    46.45   -11.87    34.58
2013  03  10  02  18  00    46.90   -12.32    34.57
2013  03  10  02  19  00    47.01   -12.45    34.56
2013  03  10  02  20  00    47.61   -12.05    35.55
2013  03  10  02  21  00    49.64   -12.10    37.54
2013  03  10  02  22  00    50.04   -12.51    37.53
2013  03  10  02  23  00    50.60   -13.08    37.52
2013  03  10  02  24  00    49.43   -12.92    36.51
2013  03  10  02  25  00    48.94   -12.44    36.50
2013  03  10  02  26  00    47.80   -11.31    36.49
2013  03  10  02  27  00    47.58   -12.10    35.48
2013  03  10  02  28  00    48.45   -12.98    35.47
2013  03  10  02  29  00    49.02   -13.56    35.46
2013  03  10  02  30  00    51.52   -14.07    37.45
2013  03  10  02  31  00    51.02   -14.57    36.44
2013  03  10  02  32  00    50.17   -14.74    35.44
2013  03  10  02  33  00    50.79   -14.36    36.43
2013  03  10  02  34  00    50.19   -13.77    36.42
2013  03  10  02  35  00    48.47   -13.06    35.41
2013  03  10  02  36  00    48.09   -12.68    35.41
2013  03  10  02  37  00    48.63   -12.23    36.40
2013  03  10  02  38  00    48.49   -12.10    36.39
2013  03  10  02  39  00    47.57   -12.19    35.38
2013  03  10  02  40  00    48.74   -12.36    36.37
2013  03  10  02  41  00    48.97   -12.61    36.36
2013  03  10  02  42  00    49.49   -13.13    36.36
2013  03  10  02  43  00    50.03   -13.68    36.35
2013  03  10  02  44  00    50.74   -13.40    37.34
2013  03  10  02  45  00    50.07   -13.73    36.34
2013  03  10  02  46  00    50.39   -14.06    36.33
2013  03  10  02  47  00    50.31   -13.98    36.33
2013  03  10  02  48  00    49.06   -13.74    35.32
2013  03  10  02  49  00    48.94   -13.63    35.31
2013  03  10  02  50  00    48.73   -13.42    35.31
2013  03  10  02  51  00    48.50   -13.19    35.30
2013  03  10  02  52  00    48.11   -12.81    35.30
2013  03  10  02  53  00    48.09   -12.79    35.30
2013  03  10  02  54  00    48.22   -12.93    35.29
2013  03  10  02  55  00    48.51   -13.22    35.29
2013  03  10  02  56  00    48.91   -13.62    35.29
2013  03  10  02  57  00    50.12   -13.83    36.29
2013  03  10  02  58  00    49.75   -14.47    35.28
2013  03  10  02  59  00    50.51   -15.23    35.28
2013  03  10  03  00  00    51.83   -15.55    36.28
2013  03  10  03  01  00    50.78   -15.50    35.28
2013  03  10  03  02  00    50.95   -15.67    35.28
2013  03  10  03  03  00    50.83   -15.55    35.28
2013  03  10  03  04  00    51.85   -15.57    36.28
2013  03  10  03  05  00    51.32   -15.04    36.28
2013  03  10  03  06  00    51.40   -15.11    36.28
2013  03  10  03  07  00    51.93   -15.65    36.28
2013  03  10  03  08  00    52.18   -15.89    36.28
2013  03  10  03  09  00    51.36   -16.07    35.29
2013  03  10  03  10  00    50.88   -15.59    35.29
2013  03  10  03  11  00    49.37   -15.08    34.29
2013  03  10  03  12  00    49.28   -14.98    34.29
2013  03  10  03  13  00    51.68   -16.38    35.30
2013  03  10  03  14  00    53.76   -17.46    36.30
2013  03  10  03  15  00    54.97   -17.67    37.30
2013  03  10  03  16  00    53.82   -17.51    36.30
2013  03  10  03  17  00    52.98   -16.67    36.31
2013  03  10  03  18  00    52.75   -16.43    36.31
2013  03  10  03  19  00    52.98   -16.66    36.32
2013  03  10  03  20  00    53.01   -16.68    36.33
2013  03  10  03  21  00    53.93   -16.60    37.33
2013  03  10  03  22  00    54.10   -16.76    37.34
2013  03  10  03  23  00    53.07   -16.72    36.35
2013  03  10  03  24  00    52.85   -16.49    36.36
2013  03  10  03  25  00    52.79   -16.42    36.37
2013  03  10  03  26  00    53.63   -17.25    36.38
2013  03  10  03  27  00    53.30   -17.91    35.39
2013  03  10  03  28  00    53.17   -17.77    35.40
2013  03  10  03  29  00    52.73   -17.32    35.41
2013  03  10  03  30  00    52.58   -17.16    35.43
2013  03  10  03  31  00    52.80   -17.36    35.44
2013  03  10  03  32  00    53.88   -17.42    36.45
2013  03  10  03  33  00    54.80   -17.33    37.47
2013  03  10  03  34  00    54.14   -17.66    36.48
2013  03  10  03  35  00    52.99   -17.49    35.50
2013  03  10  03  36  00    53.48   -16.97    36.51
2013  03  10  03  37  00    53.85   -17.33    36.53
2013  03  10  03  38  00    53.99   -17.45    36.55
2013  03  10  03  39  00    53.00   -16.44    36.57
2013  03  10  03  40  00    53.00   -16.42    36.58
2013  03  10  03  41  00    52.20   -16.60    35.60
2013  03  10  03  42  00    52.80   -17.18    35.62
2013  03  10  03  43  00    53.33   -17.69    35.64
2013  03  10  03  44  00    53.82   -18.16    35.66
2013  03  10  03  45  00    54.24   -18.56    35.68
2013  03  10  03  46  00    54.09   -18.39    35.70
2013  03  10  03  47  00    54.22   -18.50    35.72
2013  03  10  03  48  00    54.45   -18.70    35.75
2013  03  10  03  49  00    54.60   -18.83    35.77
2013  03  10  03  50  00    53.93   -19.14    34.79
2013  03  10  03  51  00    54.81   -18.99    35.82
2013  03  10  03  52  00    55.07   -19.22    35.85
2013  03  10  03  53  00    55.06   -19.18    35.87
2013  03  10  03  54  00    54.99   -19.09    35.90
2013  03  10  03  55  00    55.11   -19.18    35.93
2013  03  10  03  56  00    55.20   -19.24    35.96
2013  03  10  03  57  00    55.13   -19.13    36.00
2013  03  10  03  58  00    54.02   -19.00    35.03
2013  03  10  03  59  00    54.95   -18.89    36.06
2013  03  10  04  00  00    55.06   -18.96    36.10
2013  03  10  04  01  00    54.14   -19.01    35.13
2013  03  10  04  02  00    54.31   -19.14    35.17
2013  03  10  04  03  00    54.24   -19.03    35.21
2013  03  10  04  04  00    54.35   -19.10    35.25
2013  03  10  04  05  00    53.70   -19.41    34.29
2013  03  10  04  06  00    53.76   -19.43    34.33
2013  03  10  04  07  00    54.03   -19.66    34.37
2013  03  10  04  08  00    54.27   -19.85    34.42
2013  03  10  04  09  00    54.06   -19.60    34.46
2013  03  10  04  10  00    53.75   -19.25    34.50
2013  03  10  04  11  00    53.48   -18.93    34.55
2013  03  10  04  12  00    53.40   -18.80    34.59
2013  03  10  04  13  00    53.65   -19.00    34.64
2013  03  10  04  14  00    53.50   -18.81    34.69
2013  03  10  04  15  00    53.50   -18.76    34.74
2013  03  10  04  16  00    53.91   -19.12    34.79
2013  03  10  04  17  00    52.94   -19.10    33.84
2013  03  10  04  18  00    54.10   -19.20    34.89
2013  03  10  04  19  00    54.93   -18.98    35.95
2013  03  10  04  20  00    54.75   -18.75    36.00
2013  03  10  04  21  00    53.97   -18.92    35.05
2013  03  10  04  22  00    53.51   -19.40    34.11
2013  03  10  04  23  00    53.84   -19.68    34.16
2013  03  10  04  24  00    54.03   -19.81    34.22
2013  03  10  04  25  00    55.03   -19.75    35.28
2013  03  10  04  26  00    54.09   -19.75    34.34
2013  03  10  04  27  00    54.08   -19.68    34.40
