File created by python code using SuperMAGGetIndices

============================================================
<year>  <month>  <day>  <hour>  <min>  <sec>  <SME (nT)>  <SML (nT)>  <SMU (nT)>
2017  09  05  00  00  00   935.77  -580.41   355.36
2017  09  05  00  01  00   838.84  -525.13   313.71
2017  09  05  00  02  00   795.97  -490.93   305.04
2017  09  05  00  03  00   750.58  -444.92   305.66
2017  09  05  00  04  00   719.87  -415.77   304.10
2017  09  05  00  05  00   700.13  -414.04   286.09
2017  09  05  00  06  00   686.95  -408.70   278.25
2017  09  05  00  07  00   685.13  -405.58   279.55
2017  09  05  00  08  00   674.11  -395.20   278.91
2017  09  05  00  09  00   672.58  -395.23   277.35
2017  09  05  00  10  00   657.16  -386.43   270.73
2017  09  05  00  11  00   662.01  -404.80   257.21
2017  09  05  00  12  00   652.87  -416.45   236.43
2017  09  05  00  13  00   637.02  -426.08   210.94
2017  09  05  00  14  00   602.42  -394.76   207.66
2017  09  05  00  15  00   598.14  -364.00   234.14
2017  09  05  00  16  00   590.52  -339.48   251.04
2017  09  05  00  17  00   538.69  -336.62   202.07
2017  09  05  00  18  00   510.05  -323.77   186.27
2017  09  05  00  19  00   488.51  -306.14   182.37
2017  09  05  00  20  00   493.76  -301.24   192.53
2017  09  05  00  21  00   461.07  -276.51   184.55
2017  09  05  00  22  00   433.94  -261.66   172.29
2017  09  05  00  23  00   383.12  -214.99   168.13
2017  09  05  00  24  00   356.84  -189.24   167.59
2017  09  05  00  25  00   353.40  -181.48   171.92
2017  09  05  00  26  00   333.30  -173.48   159.83
2017  09  05  00  27  00   318.38  -169.44   148.94
2017  09  05  00  28  00   312.89  -171.04   141.85
2017  09  05  00  29  00   296.92  -170.47   126.45
2017  09  05  00  30  00   287.76  -169.23   118.53
2017  09  05  00  31  00   279.95  -166.87   113.08
2017  09  05  00  32  00   283.53  -169.16   114.37
2017  09  05  00  33  00   274.81  -160.83   113.98
2017  09  05  00  34  00   263.14  -146.59   116.55
2017  09  05  00  35  00   253.53  -137.01   116.52
2017  09  05  00  36  00   248.25  -133.35   114.90
2017  09  05  00  37  00   267.36  -135.87   131.49
2017  09  05  00  38  00   256.76  -134.39   122.38
2017  09  05  00  39  00   260.47  -127.91   132.56
2017  09  05  00  40  00   279.21  -127.61   151.60
2017  09  05  00  41  00   268.08  -131.32   136.76
2017  09  05  00  42  00   270.23  -134.04   136.20
2017  09  05  00  43  00   260.77  -129.46   131.31
2017  09  05  00  44  00   246.61  -124.71   121.90
2017  09  05  00  45  00   231.58  -122.40   109.18
2017  09  05  00  46  00   213.84  -112.32   101.52
2017  09  05  00  47  00   200.27  -101.84    98.43
2017  09  05  00  48  00   203.93  -102.79   101.14
2017  09  05  00  49  00   201.93  -103.27    98.66
2017  09  05  00  50  00   205.01  -112.10    92.91
2017  09  05  00  51  00   205.45  -115.57    89.88
2017  09  05  00  52  00   209.26  -120.02    89.24
2017  09  05  00  53  00   202.87  -117.68    85.19
2017  09  05  00  54  00   182.98  -100.78    82.20
2017  09  05  00  55  00   172.36   -91.81    80.55
2017  09  05  00  56  00   178.10   -97.77    80.33
2017  09  05  00  57  00   155.41   -79.74    75.68
2017  09  05  00  58  00   149.67   -81.68    67.99
2017  09  05  00  59  00   151.75   -79.63    72.12
2017  09  05  01  00  00   146.36   -85.59    60.77
2017  09  05  01  01  00   151.75   -89.54    62.20
2017  09  05  01  02  00   132.40   -70.55    61.85
2017  09  05  01  03  00   134.21   -73.04    61.17
2017  09  05  01  04  00   132.04   -72.50    59.53
2017  09  05  01  05  00   125.63   -69.54    56.10
2017  09  05  01  06  00   124.24   -66.24    58.00
2017  09  05  01  07  00   125.80   -64.44    61.36
2017  09  05  01  08  00   138.48   -77.01    61.48
2017  09  05  01  09  00   146.76   -84.88    61.88
2017  09  05  01  10  00   158.29   -94.79    63.50
2017  09  05  01  11  00   128.57   -81.74    46.82
2017  09  05  01  12  00   120.64   -76.68    43.96
2017  09  05  01  13  00   138.03   -69.61    68.42
2017  09  05  01  14  00   149.96   -74.50    75.46
2017  09  05  01  15  00   177.01  -105.33    71.68
2017  09  05  01  16  00   192.35  -126.19    66.16
2017  09  05  01  17  00   185.32  -119.10    66.22
2017  09  05  01  18  00   183.84  -119.09    64.75
2017  09  05  01  19  00   191.00  -127.95    63.04
2017  09  05  01  20  00   167.94  -106.83    61.10
