
Data downloaded from OMNIWeb and processed by omniweb_read.py

No AlphaRatio was considered

#TIMEDELAY
0.0

#START
 2024 05 05 00 00 00 000   -4.09     2.07     1.25  -352.80      0.70     -3.10   13.73     29602.0
 2024 05 05 00 01 00 000   -4.34     0.50    -0.04  -352.80      0.70     -3.10   13.73     29602.0
 2024 05 05 00 02 00 000   -4.09     0.34    -1.16  -352.80      0.70     -3.10   13.73     29602.0
 2024 05 05 00 03 00 000   -4.33    -0.05    -0.50  -352.80      0.70     -3.10   13.73     29602.0
 2024 05 05 00 04 00 000   -4.30    -0.23    -0.44  -352.80      0.70     -3.10   13.73     29602.0
 2024 05 05 00 05 00 000   -4.21     0.09    -0.87  -353.20      0.80     -4.00   14.08     29228.0
 2024 05 05 00 06 00 000   -4.18     0.61    -0.55  -353.60      0.80     -4.90   14.41     28884.0
 2024 05 05 00 07 00 000   -4.13     1.08    -0.20  -352.20     12.70     -7.70   14.78     32552.0
 2024 05 05 00 08 00 000   -3.72     1.61     0.29  -352.00     14.80     -8.20   14.85     33212.0
 2024 05 05 00 09 00 000   -4.06     0.87    -0.38  -352.00     14.80     -8.20   14.85     33212.0
 2024 05 05 00 10 00 000   -4.13     0.57    -0.44  -352.00     14.80     -8.20   14.85     33212.0
 2024 05 05 00 11 00 000   -4.08    -0.61    -0.73  -352.70     -4.00     -6.00   13.65     25799.0
 2024 05 05 00 12 00 000   -3.78    -1.15    -1.46  -352.70     -4.00     -6.00   13.65     25799.0
 2024 05 05 00 13 00 000   -4.08    -0.67    -0.70  -352.70     -4.00     -6.00   13.65     25799.0
 2024 05 05 00 14 00 000   -4.19    -0.24    -0.58  -351.30     -1.90     -2.70   13.51     28673.0
 2024 05 05 00 15 00 000   -4.13     0.41     0.07  -351.30     -1.90     -2.70   13.51     28673.0
 2024 05 05 00 16 00 000   -3.86     1.04    -0.24  -351.20     -1.00    -14.60   14.24     33914.0
 2024 05 05 00 17 00 000   -3.22     1.49    -1.28  -351.70     -0.30    -13.50   14.10     33780.0
 2024 05 05 00 18 00 000   -3.58    -0.97    -0.45  -351.70     -0.30    -13.50   14.10     33780.0
 2024 05 05 00 19 00 000   -3.75    -0.26    -0.79  -351.70     -0.30    -13.50   14.10     33780.0
 2024 05 05 00 20 00 000   -3.56    -1.14    -1.18  -351.70     -0.30    -13.50   14.10     33780.0
 2024 05 05 00 21 00 000   -3.83     0.22     0.27  -351.70     -0.30    -13.50   14.10     33780.0
 2024 05 05 00 22 00 000   -3.95     0.07    -0.81  -351.60     -8.90     -8.20   17.93     39991.0
 2024 05 05 00 23 00 000   -3.81    -0.49    -1.20  -351.60     -8.90     -8.20   17.93     39991.0
 2024 05 05 00 24 00 000   -3.98    -0.37    -0.09  -351.60     -8.90     -8.20   17.93     39991.0
 2024 05 05 00 25 00 000   -3.84    -0.37     0.33  -351.60     -8.90     -8.20   17.93     39991.0
 2024 05 05 00 26 00 000   -3.92     0.04     0.41  -350.10     -6.30     -5.00   18.66     38664.0
 2024 05 05 00 27 00 000   -3.80    -0.31     0.39  -350.10     -6.30     -5.00   18.66     38664.0
 2024 05 05 00 28 00 000   -3.87    -0.29     0.39  -350.10     -6.30     -5.00   18.66     38664.0
 2024 05 05 00 29 00 000   -3.73     0.62     0.33  -350.10     -6.30     -5.00   18.66     38664.0
 2024 05 05 00 30 00 000   -3.85     0.85    -0.08  -353.70     -8.10     -6.10   16.43     37964.0
 2024 05 05 00 31 00 000   -3.73     1.10    -0.04  -353.70     -8.10     -6.10   16.43     37964.0
 2024 05 05 00 32 00 000   -3.82     0.24     0.39  -353.00    -19.80      1.60   14.83     38560.0
 2024 05 05 00 33 00 000   -2.96     2.38     1.00  -352.80    -23.00      3.70   14.39     38725.0
 2024 05 05 00 34 00 000   -3.48     1.35     1.22  -352.80    -23.00      3.70   14.39     38725.0
 2024 05 05 00 35 00 000   -3.01     2.24     1.32  -352.80    -23.00      3.70   14.39     38725.0
 2024 05 05 00 36 00 000   -1.89     3.16     1.85  -352.80    -23.00      3.70   14.39     38725.0
 2024 05 05 00 37 00 000   -1.57     3.28     1.95  -344.20      7.20     -3.50   14.49     28044.0
 2024 05 05 00 38 00 000   -1.35     3.37     2.28  -344.20      7.20     -3.50   14.49     28044.0
 2024 05 05 00 39 00 000   -1.16     3.50     2.37  -344.20      7.20     -3.50   14.49     28044.0
 2024 05 05 00 40 00 000   -1.14     3.54     2.30  -344.20      7.20     -3.50   14.49     28044.0
 2024 05 05 00 41 00 000   -1.01     3.66     2.15  -342.10     11.40     -2.80   14.26     29495.0
 2024 05 05 00 42 00 000   -1.05     3.57     2.19  -342.10     11.40     -2.80   14.26     29495.0
 2024 05 05 00 43 00 000   -0.81     3.71     2.33  -342.10     11.40     -2.80   14.26     29495.0
 2024 05 05 00 44 00 000   -1.13     3.40     2.49  -342.40     10.20     -0.40   14.78     32116.0
 2024 05 05 00 45 00 000   -1.08     3.65     2.16  -342.40     10.20     -0.40   14.78     32116.0
 2024 05 05 00 46 00 000   -1.61     3.41     2.15  -342.40     10.20     -0.40   14.78     32116.0
 2024 05 05 00 47 00 000   -1.67     3.48     2.36  -342.40     10.20     -0.40   14.78     32116.0
 2024 05 05 00 48 00 000   -1.75     3.31     2.52  -342.40     10.20     -0.40   14.78     32116.0
 2024 05 05 00 49 00 000   -1.50     3.98     1.34  -342.40     10.20     -0.40   14.78     32116.0
 2024 05 05 00 50 00 000   -1.71     3.88     1.36  -342.40     10.20     -0.40   14.78     32116.0
 2024 05 05 00 51 00 000   -1.84     3.82     1.47  -342.40     10.20     -0.40   14.78     32116.0
 2024 05 05 00 52 00 000   -1.78     3.80     1.55  -344.00     11.50     -3.20   14.78     27784.0
 2024 05 05 00 53 00 000   -1.90     3.53     2.04  -344.00     11.50     -3.20   14.78     27784.0
 2024 05 05 00 54 00 000   -2.09     3.16     2.34  -344.00     11.50     -3.20   14.78     27784.0
 2024 05 05 00 55 00 000   -2.07     3.00     2.38  -344.00     11.50     -3.20   14.78     27784.0
 2024 05 05 00 56 00 000   -2.16     2.81     2.51  -344.00     11.50     -3.20   14.78     27784.0
 2024 05 05 00 57 00 000   -1.97     2.67     2.82  -343.20      8.40      1.00   14.29     25624.0
 2024 05 05 00 58 00 000   -1.51     3.64     2.33  -343.20      8.40      1.00   14.29     25624.0
 2024 05 05 00 59 00 000   -1.66     3.64     2.40  -342.70      9.40     -0.20   14.35     25663.0
 2024 05 05 01 00 00 000   -1.88     3.66     2.27  -342.20     10.40     -1.30   14.41     25699.0
 2024 05 05 01 01 00 000   -1.96     3.71     2.05  -342.20     10.40     -1.30   14.41     25699.0
 2024 05 05 01 02 00 000   -1.68     3.93     2.01  -340.30     11.40     -1.70   14.18     24613.0
 2024 05 05 01 03 00 000   -1.75     3.86     2.10  -340.30     11.40     -1.70   14.18     24613.0
 2024 05 05 01 04 00 000   -1.57     3.90     2.23  -340.30     11.40     -1.70   14.18     24613.0
 2024 05 05 01 05 00 000   -1.31     3.97     2.19  -339.50     13.50     -3.30   14.93     25949.0
 2024 05 05 01 06 00 000   -1.63     3.87     2.18  -339.50     13.50     -3.30   14.93     25949.0
 2024 05 05 01 07 00 000   -1.86     3.59     2.60  -341.90     10.80     -3.40   14.30     25999.0
 2024 05 05 01 08 00 000   -1.59     3.32     2.47  -341.90     10.80     -3.40   14.30     25999.0
 2024 05 05 01 09 00 000   -2.48     2.92     2.42  -341.90     10.80     -3.40   14.30     25999.0
 2024 05 05 01 13 00 000   -0.66     4.10     2.10  -341.90     10.80     -3.40   14.30     25999.0
 2024 05 05 01 14 00 000   -0.26     4.12     1.88  -336.30     10.40     -7.50   15.47     28963.0
 2024 05 05 01 15 00 000    0.12     4.15     1.78  -336.30     10.40     -7.50   15.47     28963.0
 2024 05 05 01 16 00 000    0.12     4.15     1.78  -336.30     10.40     -7.50   15.47     28963.0
 2024 05 05 01 17 00 000    0.57     3.95     1.92  -336.30     10.40     -7.50   15.47     28963.0
 2024 05 05 01 18 00 000    1.04     3.93     1.99  -336.30     10.40     -7.50   15.47     28963.0
 2024 05 05 01 19 00 000    0.68     3.94     2.37  -336.30     10.40     -7.50   15.47     28963.0
 2024 05 05 01 20 00 000    0.46     3.95     2.52  -336.30     10.40     -7.50   15.47     28963.0
 2024 05 05 01 21 00 000    0.46     3.96     2.51  -336.30     10.40     -7.50   15.47     28963.0
 2024 05 05 01 22 00 000    0.23     4.07     2.48  -334.80     12.10     -2.40   15.68     31478.0
 2024 05 05 01 23 00 000    0.11     4.07     2.41  -334.80     12.10     -2.40   15.68     31478.0
 2024 05 05 01 24 00 000    0.10     4.16     2.12  -334.80     12.10     -2.40   15.68     31478.0
 2024 05 05 01 25 00 000    0.36     4.44     1.03  -334.80     12.10     -2.40   15.68     31478.0
 2024 05 05 01 26 00 000   -0.37     4.02     2.05  -334.80     12.10     -2.40   15.68     31478.0
 2024 05 05 01 27 00 000   -0.21     4.11     2.24  -334.80     12.10     -2.40   15.68     31478.0
 2024 05 05 01 28 00 000   -0.63     3.97     1.76  -336.50     12.00     -0.90   15.92     29709.0
 2024 05 05 01 29 00 000   -0.99     4.05     1.65  -336.50     12.00     -0.90   15.92     29709.0
 2024 05 05 01 30 00 000   -1.40     3.75     1.37  -336.50     12.00     -0.90   15.92     29709.0
 2024 05 05 01 31 00 000   -1.19     3.82     1.59  -336.50     12.00     -0.90   15.92     29709.0
 2024 05 05 01 32 00 000   -1.08     3.64     1.73  -336.10     13.30     -3.90   15.82     28305.0
 2024 05 05 01 33 00 000   -1.22     3.80     1.57  -336.10     13.30     -3.90   15.82     28305.0
 2024 05 05 01 34 00 000   -1.46     3.62     1.72  -336.10     13.30     -3.90   15.82     28305.0
 2024 05 05 01 35 00 000   -1.78     3.71     1.77  -336.10     13.30     -3.90   15.82     28305.0
 2024 05 05 01 36 00 000   -1.61     3.53     1.70  -336.10     13.30     -3.90   15.82     28305.0
 2024 05 05 01 37 00 000   -1.50     3.62     2.02  -338.70     13.00     -4.20   15.34     28279.0
 2024 05 05 01 38 00 000   -1.00     4.11     1.79  -338.70     13.00     -4.20   15.34     28279.0
 2024 05 05 01 39 00 000   -1.02     4.15     1.67  -338.70     13.00     -4.20   15.34     28279.0
 2024 05 05 01 40 00 000   -1.53     3.84     1.76  -338.70     13.00     -4.20   15.34     28279.0
 2024 05 05 01 41 00 000   -1.90     3.41     1.94  -337.80     11.60     -7.10   15.62     29069.0
 2024 05 05 01 42 00 000   -2.99     2.86     1.79  -337.80     11.60     -7.10   15.62     29069.0
 2024 05 05 01 43 00 000   -4.72     0.40     0.67  -337.80     11.60     -7.10   15.62     29069.0
 2024 05 05 01 44 00 000   -4.79     0.01     0.66  -337.80     11.60     -7.10   15.62     29069.0
 2024 05 05 01 45 00 000   -4.99    -0.50     0.70  -351.60     -2.70     -1.40   14.82     25351.0
 2024 05 05 01 46 00 000   -5.04    -0.50     0.70  -351.60     -2.70     -1.40   14.82     25351.0
 2024 05 05 01 47 00 000   -5.08    -0.32     0.66  -351.60     -2.70     -1.40   14.82     25351.0
 2024 05 05 01 48 00 000   -4.86    -0.02     1.02  -351.60     -2.70     -1.40   14.82     25351.0
 2024 05 05 01 49 00 000   -4.72     0.11     1.25  -351.60     -2.70     -1.40   14.82     25351.0
 2024 05 05 01 50 00 000   -5.14    -0.31     0.74  -351.70     -2.80     -0.80   14.20     21588.0
