File created by python code using write_sme_return_file

============================================================
<year>  <month>  <day>  <hour>  <min>  <sec>  <SME (nT)>  <SML (nT)>  <SMU (nT)>
2024  10  02  00  13  00    50.60   -35.97    14.64
2024  10  02  00  14  00    51.77   -36.05    15.72
2024  10  02  00  15  00    50.55   -36.44    14.11
2024  10  02  00  16  00    50.45   -36.74    13.71
2024  10  02  00  17  00    51.00   -36.84    14.16
2024  10  02  00  18  00    51.57   -36.94    14.63
2024  10  02  00  19  00    52.53   -36.93    15.60
2024  10  02  00  20  00    52.20   -37.03    15.16
2024  10  02  00  21  00    51.72   -37.03    14.70
2024  10  02  00  22  00    50.96   -36.73    14.23
2024  10  02  00  23  00    50.01   -36.53    13.48
2024  10  02  00  24  00    49.84   -36.24    13.60
2024  10  02  00  25  00    50.42   -35.84    14.58
2024  10  02  00  26  00    51.98   -36.14    15.84
2024  10  02  00  27  00    53.27   -36.25    17.02
2024  10  02  00  28  00    53.32   -36.25    17.07
2024  10  02  00  29  00    52.14   -36.14    15.99
2024  10  02  00  30  00    52.34   -36.44    15.90
2024  10  02  00  31  00    52.73   -36.94    15.79
2024  10  02  00  32  00    52.70   -37.45    15.25
2024  10  02  00  33  00    53.18   -37.25    15.93
2024  10  02  00  34  00    53.36   -37.26    16.10
2024  10  02  00  35  00    53.38   -36.97    16.42
2024  10  02  00  36  00    53.60   -36.76    16.85
2024  10  02  00  37  00    53.18   -37.07    16.11
2024  10  02  00  38  00    52.87   -37.78    15.09
2024  10  02  00  39  00    52.01   -36.69    15.32
2024  10  02  00  40  00    51.36   -36.11    15.25
2024  10  02  00  41  00    51.18   -34.72    16.46
2024  10  02  00  42  00    53.17   -34.03    19.14
2024  10  02  00  43  00    54.81   -33.75    21.06
2024  10  02  00  44  00    54.15   -34.05    20.10
2024  10  02  00  45  00    52.90   -34.47    18.43
2024  10  02  00  46  00    50.85   -35.49    15.36
2024  10  02  00  47  00    50.99   -35.80    15.19
2024  10  02  00  48  00    51.11   -36.22    14.89
2024  10  02  00  49  00    51.65   -36.34    15.30
2024  10  02  00  50  00    52.95   -36.26    16.69
2024  10  02  00  51  00    53.19   -35.87    17.32
2024  10  02  00  52  00    52.21   -35.09    17.13
2024  10  02  00  53  00    50.77   -34.61    16.17
2024  10  02  00  54  00    50.56   -34.33    16.23
2024  10  02  00  55  00    50.60   -34.35    16.25
2024  10  02  00  56  00    50.57   -34.57    16.01
2024  10  02  00  57  00    50.54   -34.19    16.36
2024  10  02  00  58  00    50.58   -33.61    16.97
2024  10  02  00  59  00    54.39   -32.71    21.67
2024  10  02  01  00  00    61.91   -31.64    30.28
2024  10  02  01  01  00    68.69   -30.95    37.74
2024  10  02  01  02  00    70.13   -30.07    40.05
2024  10  02  01  03  00    73.32   -29.19    44.12
2024  10  02  01  04  00    78.13   -28.81    49.32
2024  10  02  01  05  00    80.73   -27.93    52.80
2024  10  02  01  06  00    84.92   -27.14    57.78
2024  10  02  01  07  00    92.05   -26.46    65.59
2024  10  02  01  08  00    97.28   -25.78    71.50
2024  10  02  01  09  00   104.15   -25.50    78.65
2024  10  02  01  10  00   105.03   -25.11    79.92
2024  10  02  01  11  00   103.88   -24.84    79.05
2024  10  02  01  12  00   100.72   -24.36    76.36
2024  10  02  01  13  00    92.92   -23.78    69.14
2024  10  02  01  14  00    89.89   -23.09    66.80
2024  10  02  01  15  00   101.29   -22.11    79.18
2024  10  02  01  16  00    98.54   -22.63    75.91
2024  10  02  01  17  00    96.53   -24.01    72.53
2024  10  02  01  18  00   103.43   -24.96    78.47
2024  10  02  01  19  00   103.38   -26.51    76.87
2024  10  02  01  20  00   102.26   -28.24    74.02
2024  10  02  01  21  00    98.78   -29.41    69.37
2024  10  02  01  22  00    97.12   -29.54    67.58
2024  10  02  01  23  00    99.10   -29.65    69.45
2024  10  02  01  24  00    99.57   -30.45    69.12
2024  10  02  01  25  00    96.43   -29.60    66.83
2024  10  02  01  26  00    93.77   -28.89    64.87
2024  10  02  01  27  00    89.62   -28.62    61.00
2024  10  02  01  28  00    85.28   -27.98    57.30
2024  10  02  01  29  00    83.90   -26.35    57.55
2024  10  02  01  30  00    83.14   -23.96    59.18
2024  10  02  01  31  00    81.54   -22.09    59.45
2024  10  02  01  32  00    80.24   -21.65    58.60
2024  10  02  01  33  00    79.69   -21.67    58.03
2024  10  02  01  34  00    78.21   -22.40    55.81
2024  10  02  01  35  00    76.79   -24.30    52.49
2024  10  02  01  36  00    79.49   -27.15    52.33
2024  10  02  01  37  00    84.94   -29.67    55.27
2024  10  02  01  38  00    85.01   -30.79    54.23
2024  10  02  01  39  00    78.69   -30.53    48.16
2024  10  02  01  40  00    71.41   -28.74    42.67
2024  10  02  01  41  00    69.17   -26.20    42.97
2024  10  02  01  42  00    68.11   -23.90    44.21
2024  10  02  01  43  00    65.06   -22.09    42.97
2024  10  02  01  44  00    71.11   -21.07    50.05
2024  10  02  01  45  00    74.51   -20.29    54.22
2024  10  02  01  46  00    75.04   -20.51    54.53
2024  10  02  01  47  00    87.36   -21.54    65.83
2024  10  02  01  48  00    96.15   -24.02    72.13
2024  10  02  01  49  00   103.89   -26.67    77.22
2024  10  02  01  50  00   111.41   -28.41    83.00
2024  10  02  01  51  00   122.58   -29.95    92.62
